Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/13/2023, 19:05:56,Royal Canin Mini Puppy Wet Dog Food 85G,royal-canin-mini-puppy-wet-dog-food,Royal Canin,6660829085832,100000007816,9003579008218,85g,3.05,Available
02/13/2023, 19:05:56,Black Hawk Large Breed Adult Chicken &amp; Rice Dry Dog Food 20kg,black-hawk-large-breed-adult-chicken-rice-dry-dog-food,Black Hawk,6660825743496,122713000026,9312239039807,20kg,178.00,Available
02/13/2023, 19:05:56,Royal Canin Puppy Mini Dry Dog Food 4kg,royal-canin-puppy-mini-dry-dog-food,Royal Canin,6660849565832,100000024744,3182550793032,4kg,69.18,Available
02/13/2023, 19:05:56,Royal Canin Educ Training Dog Treats 50G,royal-canin-educ-training-dog-treats,Royal Canin,6661456724104,122923000017,3182550781022,50g,5.73,Available
02/13/2023, 19:05:56,Royal Canin French Bulldog Puppy Dry Dog Food 3kg,royal-canin-french-bulldog-puppy-dry-dog-food,Royal Canin,6662261407880,100000005444,3182550811705,3kg,52.50,Available
02/13/2023, 19:05:56,Royal Canin Dachshund Puppy Dry Dog Food 1.5kg,royal-canin-dachshund-puppy-dry-dog-food,Royal Canin,6662245777544,122725000056,3182550722575,1.5kg,42.38,Available
02/13/2023, 19:05:56,Royal Canin Digestive Care Loaf Adult Wet Dog Food 85G,royal-canin-digestive-care-adult-loaf-wet-dog-food,Royal Canin,6660993351816,100000019003,9003579008782,85g,3.05,Available
02/13/2023, 19:05:56,Royal Canin Mini Dental Care Adult Dry Dog Food 3kg,royal-canin-mini-dental-care-adult-dry-dog-food,Royal Canin,6661149655176,100000018998,3182550894371,3kg,60.61,Available
02/13/2023, 19:05:56,Royal Canin Boxer Adult Dry Dog Food 12kg,royal-canin-boxer-adult-dry-dog-food,Royal Canin,6661563777160,122725000095,3182550719766,12kg,153.00,Available
02/13/2023, 19:05:56,Royal Canin Medium Adult Wet Dog Food 140G,royal-canin-medium-adult-wet-dog-food,Royal Canin,6660851302536,100000007820,9003579008379,140g,4.39,Available
02/13/2023, 19:05:56,Royal Canin Mini Adult 8+ Dry Dog Food 2kg,royal-canin-mini-adult-8-dry-dog-food,Royal Canin,6660836294792,122725000124,3182550831383,2kg,42.10,Available
02/13/2023, 19:05:56,Black Hawk Working Dog Adult Lamb &amp; Beef Dry Dog Food 20kg,black-hawk-working-dog-adult-lamb-beef-dry-dog-food,Black Hawk,6660830298248,100000001456,9312239042777,20kg,186.00,Available
02/13/2023, 19:05:56,Royal Canin Poodle Adult Wet Dog Food 85G,royal-canin-poodle-adult-wet-dog-food,Royal Canin,6660853203080,100000001542,9003579001653,85g,3.05,Available
02/13/2023, 19:05:56,Pro Plan Sensitive With OptiRestore Adult Dry Dog Food 12kg,pro-plan-sensitive-with-optirestore-adult-dry-dog-food,Pro Plan,6660823351432,122724000133,9300605117679,12kg,159.00,Available
02/13/2023, 19:05:56,Royal Canin Mini Ageing 12+ Senior Dry Dog Food 1.5kg,royal-canin-mini-ageing-12-senior-dry-dog-food,Royal Canin,6660840358024,122725000013,3182550793575,1.5kg,40.70,Out of Stock
02/13/2023, 19:05:56,Royal Canin Maxi Ageing 8+ Senior Dry Dog Food 15kg,royal-canin-maxi-ageing-8-senior-dry-dog-food,Royal Canin,6660823974024,122725000022,3182550803113,15kg,182.00,Available
02/13/2023, 19:05:56,Royal Canin Light Weight Care Adult Loaf Wet Dog Food 85g,royal-canin-light-weight-care-adult-loaf-wet-dog-food,Royal Canin,6660955963528,100000019002,9003579008706,85g,3.05,Available
02/13/2023, 19:05:56,Royal Canin Mini Dermacomfort Adult Dry Dog Food 3kg,royal-canin-mini-dermacomfort-adult-dry-dog-food,Royal Canin,6660839473288,100000013308,3182550893916,3kg,60.60,Available
02/13/2023, 19:05:56,Royal Canin Junior Giant Puppy Chicken Dry Dog Food 15kg,royal-canin-junior-giant-puppy-chicken-dry-dog-food,Royal Canin,6660842553480,122725000103,3182550707077,15kg,200.00,Available
02/13/2023, 19:05:56,Royal Canin Dermacomfort Loaf Adult Wet Dog Food 85G,royal-canin-dermacomfort-adult-loaf-wet-dog-food,Royal Canin,6661894340744,100000019004,9003579008829,85g,3.05,Available
02/13/2023, 19:05:56,Royal Canin Poodle Puppy Dry Dog Food 3kg,royal-canin-poodle-puppy-dry-dog-food,Royal Canin,6662270681224,100000005443,3182550765206,3kg,52.50,Available
02/13/2023, 19:05:56,Royal Canin Relax Care Adult Loaf Wet Dog Food 85g,royal-canin-relax-care-adult-loaf-wet-dog-food,Royal Canin,6660959142024,100000019005,9003579008867,85g,3.05,Available
02/13/2023, 19:05:56,Pro Plan Sensitive Stomach &amp; Skin Salmon &amp; Rice Wet Dog Food 368g,pro-plan-sensitive-stomach-skin-salmon-rice-wet-dog-food,Pro Plan,6660836393096,122724000071,038100026897,368g,3.98,Out of Stock
