Product_Id,Product_Slug,Brand,Product_Name,Product_Size,Offer_Price,Recommended_Price,Description,Ingredients,Feeding_Guide,Reviews_Count,Rating
7741,meals-for-mutts-mfm-salmon-and-sardine-adult-dry-dog-food-25kg,Meals For Mutts and Meows,Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food 2.5kg,2.5kg,$33.26,$34.99,"Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food Contains Natural Ingredients For Optimal Health And WellbeingComplete and Balanced nutrition, designed for dogs ofall ages, breeds, and sizesIdeal for Dogs with Allergies or SensitivitiesThe diet is free from the most common food allergens - such as corn, wheat, soy, dairy, beef and chickenThe main protein sources are salmon and sardine - great for dogs allergic to other meat sourcesHypoallergenic, natural, organic and holisticGluten FreeMuscle HealthThe first two ingredients are salmon and sardine which are great sources of lean proteinThe high protein content promotes muscle maintenanceOmega 3, 6 and 9 (DHA and EPA)Omega oils promote brain function, cardiovascular health, teeth, healthy nails, skin and a lustrous coatSupports the immune system due to natural anti-inflammatory properties and the unique blend of prebioticsMaintains normal hormonal systems in the bodyThe blend of oils and essential nutrients promotes skeletal strength, joint structure and mobilitySuperior DigestibilityHigh digestibility means your dog absorbs more nutrients, providing optimum nutrition balanced with energyThe use of natural, easily digestible ingredients results in smaller, firmer stools - making pick up time much easierIncludes Yucca Shidigera - natural plant extract to reduce unpleasant faecal and gas odoursNatural IngredientsNo artificial preservatives or colours - naturally preserved with mixed tocopherols, vitamin E and rosemary extractFree of sucrose and dairyNo irradiation or fumigation of ingredientsFurther InformationScientifically formulated by food technologists and nutritionists100% Australian Made and Owned","IngredientsSalmon &amp; Sardine, ground brown rice, seasonal vegetables, peas, alfalfa, natural fats and oils, omega 3, 6 &amp; 9, yeast, garlic, kelp. Also contains Yucca Shidigera extract and natural flavours, and is preserved using natural vitamin E and rosemary extractVitamins A, C, D3, E, K, B1, B2, B6, B12, niacin, pantothenic acid, folacin, biotin and natural organic acidsMineralsCalcium, phosphorus, sodium, copper, zinc, iron, manganese, iodineNutritional AnalysisCrude Protein (min): 20%, Crude Fat (min): 10%, Ash (Typical): 5%, Crude Fibre (max): 4%, Moisture: 10%, Phosphorus (min): 1%, Calcium (min): 2%, Crude Fibre (max): 4%Metabolisable Energy3700 kcal/kg","Feeding GuideAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarianIf this is a new diet for your pet, mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day periodAlways keep fresh water availableYour pet's nutritional needs may change as they age1 cup = approx. 130gDog Weight (kg)Intake (gm/day)1-590101351517020200252303026035280403054532550350",391,5
9162,meals-for-mutts-mfm-salmon-and-sardine-adult-dry-dog-food-9kg,Meals For Mutts and Meows,Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food 9kg,9kg,$80.28,$82.99,"Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food Contains Natural Ingredients For Optimal Health And WellbeingComplete and Balanced nutrition, designed for dogs ofall ages, breeds, and sizesIdeal for Dogs with Allergies or SensitivitiesThe diet is free from the most common food allergens - such as corn, wheat, soy, dairy, beef and chickenThe main protein sources are salmon and sardine - great for dogs allergic to other meat sourcesHypoallergenic, natural, organic and holisticGluten FreeMuscle HealthThe first two ingredients are salmon and sardine which are great sources of lean proteinThe high protein content promotes muscle maintenanceOmega 3, 6 and 9 (DHA and EPA)Omega oils promote brain function, cardiovascular health, teeth, healthy nails, skin and a lustrous coatSupports the immune system due to natural anti-inflammatory properties and the unique blend of prebioticsMaintains normal hormonal systems in the bodyThe blend of oils and essential nutrients promotes skeletal strength, joint structure and mobilitySuperior DigestibilityHigh digestibility means your dog absorbs more nutrients, providing optimum nutrition balanced with energyThe use of natural, easily digestible ingredients results in smaller, firmer stools - making pick up time much easierIncludes Yucca Shidigera - natural plant extract to reduce unpleasant faecal and gas odoursNatural IngredientsNo artificial preservatives or colours - naturally preserved with mixed tocopherols, vitamin E and rosemary extractFree of sucrose and dairyNo irradiation or fumigation of ingredientsFurther InformationScientifically formulated by food technologists and nutritionists100% Australian Made and Owned","IngredientsSalmon &amp; Sardine, ground brown rice, seasonal vegetables, peas, alfalfa, natural fats and oils, omega 3, 6 &amp; 9, yeast, garlic, kelp. Also contains Yucca Shidigera extract and natural flavours, and is preserved using natural vitamin E and rosemary extractVitamins A, C, D3, E, K, B1, B2, B6, B12, niacin, pantothenic acid, folacin, biotin and natural organic acidsMineralsCalcium, phosphorus, sodium, copper, zinc, iron, manganese, iodineNutritional AnalysisCrude Protein (min): 20%, Crude Fat (min): 10%, Ash (Typical): 5%, Crude Fibre (max): 4%, Moisture: 10%, Phosphorus (min): 1%, Calcium (min): 2%, Crude Fibre (max): 4%Metabolisable Energy3700 kcal/kg","Feeding GuideAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarianIf this is a new diet for your pet, mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day periodAlways keep fresh water availableYour pet's nutritional needs may change as they age1 cup = approx. 130gDog Weight (kg)Intake (gm/day)1-590101351517020200252303026035280403054532550350",391,5
7742,meals-for-mutts-mfm-salmon-and-sardine-adult-dry-dog-food-20kg,Meals For Mutts and Meows,Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food 20kg,20kg,$139.99,$149.99,"Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food Contains Natural Ingredients For Optimal Health And WellbeingComplete and Balanced nutrition, designed for dogs ofall ages, breeds, and sizesIdeal for Dogs with Allergies or SensitivitiesThe diet is free from the most common food allergens - such as corn, wheat, soy, dairy, beef and chickenThe main protein sources are salmon and sardine - great for dogs allergic to other meat sourcesHypoallergenic, natural, organic and holisticGluten FreeMuscle HealthThe first two ingredients are salmon and sardine which are great sources of lean proteinThe high protein content promotes muscle maintenanceOmega 3, 6 and 9 (DHA and EPA)Omega oils promote brain function, cardiovascular health, teeth, healthy nails, skin and a lustrous coatSupports the immune system due to natural anti-inflammatory properties and the unique blend of prebioticsMaintains normal hormonal systems in the bodyThe blend of oils and essential nutrients promotes skeletal strength, joint structure and mobilitySuperior DigestibilityHigh digestibility means your dog absorbs more nutrients, providing optimum nutrition balanced with energyThe use of natural, easily digestible ingredients results in smaller, firmer stools - making pick up time much easierIncludes Yucca Shidigera - natural plant extract to reduce unpleasant faecal and gas odoursNatural IngredientsNo artificial preservatives or colours - naturally preserved with mixed tocopherols, vitamin E and rosemary extractFree of sucrose and dairyNo irradiation or fumigation of ingredientsFurther InformationScientifically formulated by food technologists and nutritionists100% Australian Made and Owned","IngredientsSalmon &amp; Sardine, ground brown rice, seasonal vegetables, peas, alfalfa, natural fats and oils, omega 3, 6 &amp; 9, yeast, garlic, kelp. Also contains Yucca Shidigera extract and natural flavours, and is preserved using natural vitamin E and rosemary extractVitamins A, C, D3, E, K, B1, B2, B6, B12, niacin, pantothenic acid, folacin, biotin and natural organic acidsMineralsCalcium, phosphorus, sodium, copper, zinc, iron, manganese, iodineNutritional AnalysisCrude Protein (min): 20%, Crude Fat (min): 10%, Ash (Typical): 5%, Crude Fibre (max): 4%, Moisture: 10%, Phosphorus (min): 1%, Calcium (min): 2%, Crude Fibre (max): 4%Metabolisable Energy3700 kcal/kg","Feeding GuideAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarianIf this is a new diet for your pet, mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day periodAlways keep fresh water availableYour pet's nutritional needs may change as they age1 cup = approx. 130gDog Weight (kg)Intake (gm/day)1-590101351517020200252303026035280403054532550350",391,5
14003,meals-for-mutts-mfm-salmon-and-sardine-adult-dry-dog-food-40kg,Meals For Mutts and Meows,Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food 40kg,40kg,$269.99,$299.98,"Meals For Mutts MfM Salmon And Sardine Adult Dry Dog Food Contains Natural Ingredients For Optimal Health And WellbeingComplete and Balanced nutrition, designed for dogs ofall ages, breeds, and sizesIdeal for Dogs with Allergies or SensitivitiesThe diet is free from the most common food allergens - such as corn, wheat, soy, dairy, beef and chickenThe main protein sources are salmon and sardine - great for dogs allergic to other meat sourcesHypoallergenic, natural, organic and holisticGluten FreeMuscle HealthThe first two ingredients are salmon and sardine which are great sources of lean proteinThe high protein content promotes muscle maintenanceOmega 3, 6 and 9 (DHA and EPA)Omega oils promote brain function, cardiovascular health, teeth, healthy nails, skin and a lustrous coatSupports the immune system due to natural anti-inflammatory properties and the unique blend of prebioticsMaintains normal hormonal systems in the bodyThe blend of oils and essential nutrients promotes skeletal strength, joint structure and mobilitySuperior DigestibilityHigh digestibility means your dog absorbs more nutrients, providing optimum nutrition balanced with energyThe use of natural, easily digestible ingredients results in smaller, firmer stools - making pick up time much easierIncludes Yucca Shidigera - natural plant extract to reduce unpleasant faecal and gas odoursNatural IngredientsNo artificial preservatives or colours - naturally preserved with mixed tocopherols, vitamin E and rosemary extractFree of sucrose and dairyNo irradiation or fumigation of ingredientsFurther InformationScientifically formulated by food technologists and nutritionists100% Australian Made and Owned","IngredientsSalmon &amp; Sardine, ground brown rice, seasonal vegetables, peas, alfalfa, natural fats and oils, omega 3, 6 &amp; 9, yeast, garlic, kelp. Also contains Yucca Shidigera extract and natural flavours, and is preserved using natural vitamin E and rosemary extractVitamins A, C, D3, E, K, B1, B2, B6, B12, niacin, pantothenic acid, folacin, biotin and natural organic acidsMineralsCalcium, phosphorus, sodium, copper, zinc, iron, manganese, iodineNutritional AnalysisCrude Protein (min): 20%, Crude Fat (min): 10%, Ash (Typical): 5%, Crude Fibre (max): 4%, Moisture: 10%, Phosphorus (min): 1%, Calcium (min): 2%, Crude Fibre (max): 4%Metabolisable Energy3700 kcal/kg","Feeding GuideAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarianIf this is a new diet for your pet, mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day periodAlways keep fresh water availableYour pet's nutritional needs may change as they age1 cup = approx. 130gDog Weight (kg)Intake (gm/day)1-590101351517020200252303026035280403054532550350",391,5
1779,royal-canin-dachshund-adult-dry-dog-food-15kg,Royal Canin,Royal Canin Dachshund Adult Dry Dog Food 1.5kg,1.5kg,$31.58,$38.00,Royal Canin Dachshund Adult Dry Dog Food Provides Many Health Benefits Specific For DachshundsComplete nutrition for adult and mature Dachshunds over 10 months oldBone and Joint HealthSupports the Dachshund's bones and joints with an adapted content of calcium and phosphorusThe Dachshund's short limbs and vertebrae are often subjected to mechanical stressesThe special formula encourages an ideal weightMuscle HealthOptimal protein content (28%) supports the maintenance of muscle toneIncludes L-carnitine to help promote energy production in musclesStool and Odour ReductionReduction in the volume and odour of stoolsLongevityThe formula assists in maintaining vitality as your pet ages,"IngredientsRice, dehydrated poultry protein, vegetable protein isolate*, animal fats, hydrolysed animal proteins, vegetable fibres, minerals, beet pulp, fish oil, soya oil, fructo-oligo-saccharides, borage oil, marigold extract (source of lutein), hydrolysed crustaceans (source of glucosamine), green tea and grape extracts (source of polyphenols), hydrolysed cartilage (source of chondroitin)Additives (per kg): Nutritional additives: Vitamin A: 31500 IU, Vitamin D3: 800 IU, E1 (Iron): 47 mg, E2 (Iodine): 4.7 mg, E4 (Copper): 9 mg, E5 (Manganese): 61 mg, E6 (Zinc): 183 mg, E8 (Selenium): 0.1 mgTechnological additives: Pentasodium triphosphate: 3.5 gPreservatives - AntioxidantsAnalytical ConstituentsProtein: 28% - Fat content: 14% - Crude ash: 6.4% - Crude fibres: 2.9% - *L.I.P.: protein selected for its very high assimilationCalorie Content3,542 kcal/kg","Feeding guideIt is recommended to split the daily feeding amount into two separate mealsWater should always be availableThe feeding guide provides 2 options &ndash; kibble only, or kibble with wet pouchesActivity LevelLowMediumHighDog Weight(kg)Dry OnlyDry + WetDry OnlyDry + WetDry OnlyDry + WetGCupDryWetGCupDryWetGCupDryWet243&frac12;31g (⅜ cup)&frac12; pouch50⅝37g (&frac12; cup)&frac12; pouch56&frac34;44g (⅝ cup)&frac12; pouch5851 ⅛72g (1 cup)&frac12; pouch991 &frac14;86g (1 ⅛ cup)&frac12; pouch1121 &frac12;99g (1 &frac14; cup)&frac12; pouch81211 ⅝97g (1 &frac14; cup)1 pouch1401 ⅞115g (1 &frac12; cup)1 pouch1602 ⅛134g (1 &frac34; cup)1 pouch101431 ⅞118g (1 &frac12; cup)1 pouch1662 ⅛140g (1 ⅞ cup)1 pouch1892 &frac12;163g (2 ⅛ cup)1 pouch",156,5
7331,royal-canin-dachshund-adult-dry-dog-food-75kg,Royal Canin,Royal Canin Dachshund Adult Dry Dog Food 7.5kg,7.5kg,$86.75,$113.00,Royal Canin Dachshund Adult Dry Dog Food Provides Many Health Benefits Specific For DachshundsComplete nutrition for adult and mature Dachshunds over 10 months oldBone and Joint HealthSupports the Dachshund's bones and joints with an adapted content of calcium and phosphorusThe Dachshund's short limbs and vertebrae are often subjected to mechanical stressesThe special formula encourages an ideal weightMuscle HealthOptimal protein content (28%) supports the maintenance of muscle toneIncludes L-carnitine to help promote energy production in musclesStool and Odour ReductionReduction in the volume and odour of stoolsLongevityThe formula assists in maintaining vitality as your pet ages,"IngredientsRice, dehydrated poultry protein, vegetable protein isolate*, animal fats, hydrolysed animal proteins, vegetable fibres, minerals, beet pulp, fish oil, soya oil, fructo-oligo-saccharides, borage oil, marigold extract (source of lutein), hydrolysed crustaceans (source of glucosamine), green tea and grape extracts (source of polyphenols), hydrolysed cartilage (source of chondroitin)Additives (per kg): Nutritional additives: Vitamin A: 31500 IU, Vitamin D3: 800 IU, E1 (Iron): 47 mg, E2 (Iodine): 4.7 mg, E4 (Copper): 9 mg, E5 (Manganese): 61 mg, E6 (Zinc): 183 mg, E8 (Selenium): 0.1 mgTechnological additives: Pentasodium triphosphate: 3.5 gPreservatives - AntioxidantsAnalytical ConstituentsProtein: 28% - Fat content: 14% - Crude ash: 6.4% - Crude fibres: 2.9% - *L.I.P.: protein selected for its very high assimilationCalorie Content3,542 kcal/kg","Feeding guideIt is recommended to split the daily feeding amount into two separate mealsWater should always be availableThe feeding guide provides 2 options &ndash; kibble only, or kibble with wet pouchesActivity LevelLowMediumHighDog Weight(kg)Dry OnlyDry + WetDry OnlyDry + WetDry OnlyDry + WetGCupDryWetGCupDryWetGCupDryWet243&frac12;31g (⅜ cup)&frac12; pouch50⅝37g (&frac12; cup)&frac12; pouch56&frac34;44g (⅝ cup)&frac12; pouch5851 ⅛72g (1 cup)&frac12; pouch991 &frac14;86g (1 ⅛ cup)&frac12; pouch1121 &frac12;99g (1 &frac14; cup)&frac12; pouch81211 ⅝97g (1 &frac14; cup)1 pouch1401 ⅞115g (1 &frac12; cup)1 pouch1602 ⅛134g (1 &frac34; cup)1 pouch101431 ⅞118g (1 &frac12; cup)1 pouch1662 ⅛140g (1 ⅞ cup)1 pouch1892 &frac12;163g (2 ⅛ cup)1 pouch",156,5
1682,royal-canin-maxi-puppy-junior-dry-dog-food-4kg,Royal Canin,Royal Canin Maxi Puppy Junior Dry Dog Food 4kg,4kg,$55.70,$67.00,"Royal Canin Maxi Puppy Junior Dry Dog Food Is Delicious And Nutritious With Many Health Benefits For Your Big PupComplete and balanced nutrition dog for large breed puppies (adult weight from 26 to 44 kg), 2-15 months old, growth stage 3Active and sporty by nature, Maxi dogs need an energy supply which matches their lifestyle, particularly utility dogs who perform in extreme conditionsDigestive HealthAn exclusive combination of nutrients(L.I.P. proteins) support optimal digestive securityContains prebiotics (MOS) to promote a healthy balance of intestinal microbiota for healhy digestion and improved stool quality(drier, firmer, less odour)Immune System HealthHelps support your puppy&rsquo;s natural defences due to a patented antioxidant complex including vitamins C and ELong GrowthMeets the energy needs of large breed puppies which have a long growth periodBrain DevelopmentContains Omega 3 fatty acids (DHA) to promote cognitive development during the early stages of lifeEnhanced brain function also assists in training your pup from a young age","CompositionDehydrated poultry protein, rice, maize flour, wheat gluten, animal fats, maize, wheat flour, hydrolysed animal proteins, beet pulp, maize gluten, vegetable fibres, minerals, soya oil, fish oil, fructo-oligosaccarides, psyllium husks and seeds, hydrolysed yeast (source of manno-oligosaccharides and beta-glucans) (0.29%), algal oil Schizochytrium sp. (source of DHA), Yucca Schidigera juice, marigold meal, glucosamine from fermentation, hydrolysed cartilage (source of chondroitin)Additives (per kg)Nutritional additives: Vitamin A: 15,500 IU, Vitamin D3: 1000 IU, Iron: 39 mg, Iodine: 3.9 mg, Copper: 12 mg, Manganese: 51 mg, Zinc: 132 mg, Selenium: 0.06 mg - Technological additives: Clinoptilolite of sedimentary origin: 10g - Preservatives - AntioxidantsAnalytical ConstituentsProtein: 30% - Fat content: 16% - Crude ash: 7.6% - Crude fibres: 2.5%, Omega 3 fatty acids (DHA): 0.17%, Vitamin E: 500 mg/kg, Vitamin C: 400 mg/kgMetabolisable Energy3812 kcal/kg",Feeding GuideThe feeding guide provides daily feeding amountsIt is recommended to split the daily feeding amount into 3 meals (2-5 months) and 2 meals (6-15 months)The guide has two feeding options &ndash; dry only or dry + wet (pouches)Pouches = Royal Canin Puppy Maxi Chunks In Gravy 140gAlways provide fresh drinking water1 cup = 96gAge (months)Adult Weight (kg)2681216Dry Only (g)Dry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 Pouch26265231406372376342289255Feed Maxi Adult30275241451417421387322288Feed Maxi Adult40299265560525526492404370Feed Maxi Adult44308274601567598564435401Feed Maxi Adult,113,4.93
1680,royal-canin-maxi-puppy-junior-dry-dog-food-15kg,Royal Canin,Royal Canin Maxi Puppy Junior Dry Dog Food 15kg,15kg,$127.03,$190.00,"Royal Canin Maxi Puppy Junior Dry Dog Food Is Delicious And Nutritious With Many Health Benefits For Your Big PupComplete and balanced nutrition dog for large breed puppies (adult weight from 26 to 44 kg), 2-15 months old, growth stage 3Active and sporty by nature, Maxi dogs need an energy supply which matches their lifestyle, particularly utility dogs who perform in extreme conditionsDigestive HealthAn exclusive combination of nutrients(L.I.P. proteins) support optimal digestive securityContains prebiotics (MOS) to promote a healthy balance of intestinal microbiota for healhy digestion and improved stool quality(drier, firmer, less odour)Immune System HealthHelps support your puppy&rsquo;s natural defences due to a patented antioxidant complex including vitamins C and ELong GrowthMeets the energy needs of large breed puppies which have a long growth periodBrain DevelopmentContains Omega 3 fatty acids (DHA) to promote cognitive development during the early stages of lifeEnhanced brain function also assists in training your pup from a young age","CompositionDehydrated poultry protein, rice, maize flour, wheat gluten, animal fats, maize, wheat flour, hydrolysed animal proteins, beet pulp, maize gluten, vegetable fibres, minerals, soya oil, fish oil, fructo-oligosaccarides, psyllium husks and seeds, hydrolysed yeast (source of manno-oligosaccharides and beta-glucans) (0.29%), algal oil Schizochytrium sp. (source of DHA), Yucca Schidigera juice, marigold meal, glucosamine from fermentation, hydrolysed cartilage (source of chondroitin)Additives (per kg)Nutritional additives: Vitamin A: 15,500 IU, Vitamin D3: 1000 IU, Iron: 39 mg, Iodine: 3.9 mg, Copper: 12 mg, Manganese: 51 mg, Zinc: 132 mg, Selenium: 0.06 mg - Technological additives: Clinoptilolite of sedimentary origin: 10g - Preservatives - AntioxidantsAnalytical ConstituentsProtein: 30% - Fat content: 16% - Crude ash: 7.6% - Crude fibres: 2.5%, Omega 3 fatty acids (DHA): 0.17%, Vitamin E: 500 mg/kg, Vitamin C: 400 mg/kgMetabolisable Energy3812 kcal/kg",Feeding GuideThe feeding guide provides daily feeding amountsIt is recommended to split the daily feeding amount into 3 meals (2-5 months) and 2 meals (6-15 months)The guide has two feeding options &ndash; dry only or dry + wet (pouches)Pouches = Royal Canin Puppy Maxi Chunks In Gravy 140gAlways provide fresh drinking water1 cup = 96gAge (months)Adult Weight (kg)2681216Dry Only (g)Dry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 Pouch26265231406372376342289255Feed Maxi Adult30275241451417421387322288Feed Maxi Adult40299265560525526492404370Feed Maxi Adult44308274601567598564435401Feed Maxi Adult,113,4.93
15601,royal-canin-maxi-puppy-junior-dry-dog-food-30kg,Royal Canin,Royal Canin Maxi Puppy Junior Dry Dog Food 30kg,30kg,$299.99,$380.00,"Royal Canin Maxi Puppy Junior Dry Dog Food Is Delicious And Nutritious With Many Health Benefits For Your Big PupComplete and balanced nutrition dog for large breed puppies (adult weight from 26 to 44 kg), 2-15 months old, growth stage 3Active and sporty by nature, Maxi dogs need an energy supply which matches their lifestyle, particularly utility dogs who perform in extreme conditionsDigestive HealthAn exclusive combination of nutrients(L.I.P. proteins) support optimal digestive securityContains prebiotics (MOS) to promote a healthy balance of intestinal microbiota for healhy digestion and improved stool quality(drier, firmer, less odour)Immune System HealthHelps support your puppy&rsquo;s natural defences due to a patented antioxidant complex including vitamins C and ELong GrowthMeets the energy needs of large breed puppies which have a long growth periodBrain DevelopmentContains Omega 3 fatty acids (DHA) to promote cognitive development during the early stages of lifeEnhanced brain function also assists in training your pup from a young age","CompositionDehydrated poultry protein, rice, maize flour, wheat gluten, animal fats, maize, wheat flour, hydrolysed animal proteins, beet pulp, maize gluten, vegetable fibres, minerals, soya oil, fish oil, fructo-oligosaccarides, psyllium husks and seeds, hydrolysed yeast (source of manno-oligosaccharides and beta-glucans) (0.29%), algal oil Schizochytrium sp. (source of DHA), Yucca Schidigera juice, marigold meal, glucosamine from fermentation, hydrolysed cartilage (source of chondroitin)Additives (per kg)Nutritional additives: Vitamin A: 15,500 IU, Vitamin D3: 1000 IU, Iron: 39 mg, Iodine: 3.9 mg, Copper: 12 mg, Manganese: 51 mg, Zinc: 132 mg, Selenium: 0.06 mg - Technological additives: Clinoptilolite of sedimentary origin: 10g - Preservatives - AntioxidantsAnalytical ConstituentsProtein: 30% - Fat content: 16% - Crude ash: 7.6% - Crude fibres: 2.5%, Omega 3 fatty acids (DHA): 0.17%, Vitamin E: 500 mg/kg, Vitamin C: 400 mg/kgMetabolisable Energy3812 kcal/kg",Feeding GuideThe feeding guide provides daily feeding amountsIt is recommended to split the daily feeding amount into 3 meals (2-5 months) and 2 meals (6-15 months)The guide has two feeding options &ndash; dry only or dry + wet (pouches)Pouches = Royal Canin Puppy Maxi Chunks In Gravy 140gAlways provide fresh drinking water1 cup = 96gAge (months)Adult Weight (kg)2681216Dry Only (g)Dry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 PouchDry OnlyDry (g) + 1 Pouch26265231406372376342289255Feed Maxi Adult30275241451417421387322288Feed Maxi Adult40299265560525526492404370Feed Maxi Adult44308274601567598564435401Feed Maxi Adult,113,4.93
7739,meals-for-mutts-mfm-kangaroo-and-lamb-adult-dry-dog-food-25kg,Meals For Mutts and Meows,Meals For Mutts MfM Kangaroo And Lamb Adult Dry Dog Food 2.5kg,2.5kg,$33.09,$34.99,"Meals For Mutts MfM Kangaroo And Lamb Adult Dry Dog Food Contains Natural Ingredients For Optimal Health And WellbeingComplete and Balanced nutrition designed for dogsof all ages, breeds, and sizesIdeal For Dogs With Allergies Or SensitivitiesThe diet is free of the most common food allergens - such as corn, wheat, soy, dairy, beef and chickenThe 2 main ingredients are kangaroo and lamb - great protein sources for dogs allergic to other meatsHypoallergenic, natural, organic and holisticGluten FreeMuscle HealthKangaroo and lamb are great sources of lean protein to promote muscle maintenanceKangaroo BenefitsThe kangaroo meat has been sourced sustainably,responsibly and ethically - using best practice harvesting procedures, and animal welfare as a number one priorityKangaroo meat offers the highest level of protein of any of the meat types and is rich in omega-6 fatty acids and essential amino acids, an excellent source of dietary zinc, iron and other minerals and is highly digestibleLamb BenefitsThe lamb meat is sourced from pasture fed lambsLamb meat has anti-inflammatory capacities, is high in omega 3, is rich in essential amino acids, an excellent source of dietary zinc, iron and other minerals, is highly digestibleand offers assistance in maintaining healthy skin &amp; coatOmega 3, 6 and 9 (DHA EPA)Promotes healthy nails, skin and a lustrous coatSupports the immune system due to the natural anti-inflammatory properties and unique blend of prebioticsThe blend of oils and essential nutrients promotes skeletal strength, joint structure and mobilityDigestive HealthSuperior digestibility means your dog absorbs more nutrients, providing optimum nutrition balanced with energyThe use of natural, easily digestible ingredients results in smaller firm stools - making pick up time much easier!Includes Yucca Shidigera - natural plant extract to reduce unpleasant faecal and gas odoursNatural IngredientsNo artificial preservatives or colours - naturally preserved with mixed tocopherols, vitamin E and rosemary extractFree of sucrose and dairyNo irradiation or fumigation of ingredientsFurther IngredientsScientifically formulated by food technologists and nutritionists100% Australian Made and Owned","IngredientsKangaroo and Lamb Meat, Seasonal Vegetables, Ground Brown Rice, Alfalfa, Natural Fats and Oils, Omega 3, 6, 9, Coconut Oil, Turmeric, Parsley, Pre &amp; Prebiotic, Kelp. Also contains natural flavours, and is preserved using natural Vitamin E and Rosemary extractVitaminsA, C, D3, E, K, B1, B2, B6, B12, Niacin, Pantothenic Acid, Folacin, Biotin, Natural Organic AcidsMineralsCalcium, Phosphorus, Sodium, Copper, Zinc, Iron, Manganese, IodineChemical Analysis (Dry Matter Basis)Crude Protein (min): 21%, Crude Fat (min): 12%, Ash (Typical): 7%, Crude Fibre: 4%, Moisture: 10%, Phosphorus (min): 0.9%, Calcium (min): 1.4%Metabolisable Energy4050 kcal/kg","Feeding Guide Adjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarianIf this is a new diet for your pet, mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day periodAlways keep fresh water availableYour pet's nutritional needs may change as they age1 cup = 130g approx.Dog Weight (kg)Intake (gm/day)1-590101351517020200252303026035280403054532550350",249,4.99
