Scraped_Date,Scraped_Time,Product_URL,Product_ID,Product_Name,Weight,SKU,UPC,Brand,Price,Rating,Reviews,Availability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/absolute-holistic-air-dried-dog-food-beef-venison-1kg-p-31640,31640,ABSOLUTE HOLISTIC AIR DRIED DOG FOOD - BEEF & VENISON 1KG,1kg,242302,712038202003,ABSOLUTE HOLISTIC,$58.97,4.8,24,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-all-breed-active-13kg-p-32055,32055,ADVANCE ADULT DOG ALL BREED ACTIVE 13KG,13kg,164977,9334214046068,ADVANCE,$153.00,5.0,1,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-large-breed-dental-13kg-p-32056,32056,ADVANCE ADULT DOG LARGE+ BREED DENTAL 13KG,13kg,164978,9334214046105,ADVANCE,$153.00,3.3,4,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-all-breed-sensitive-skin-13kg-p-32054,32054,ADVANCE ADULT DOG ALL BREED SENSITIVE SKIN 13KG,13kg,164976,9334214046051,ADVANCE,$153.00,4.0,7,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-large-breed-mature-chicken-15kg-p-32061,32061,ADVANCE ADULT DOG LARGE+ BREED MATURE CHICKEN 15KG,15kg,164983,9334214046129,ADVANCE,$159.00,4.3,4,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-medium-breed-dental-13kg-p-32053,32053,ADVANCE ADULT DOG MEDIUM BREED DENTAL 13KG,13kg,164975,9334214046044,ADVANCE,$153.00,4.2,6,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/absolute-holistic-air-dried-dog-food-lamb-duck-1kg-p-36303,36303,ABSOLUTE HOLISTIC AIR DRIED DOG FOOD LAMB DUCK 1KG,1kg,242480,0763163284031,ABSOLUTE HOLISTIC,$58.97,4.7,6,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/absolute-holistic-air-dried-dog-food-chicken-hoki-1kg-p-31642,31642,ABSOLUTE HOLISTIC AIR DRIED DOG FOOD - CHICKEN & HOKI 1KG,1kg,242304,712038202010,ABSOLUTE HOLISTIC,$58.97,4.8,24,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-chicken-8kg-p-32049,32049,ADVANCE ADULT DOG TOY SMALL BREED CHICKEN 8KG,8kg,164971,9334214045986,ADVANCE,$102.00,4.8,10,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-small-terrier-ocean-fish-13kg-p-32057,32057,ADVANCE ADULT DOG SMALL TERRIER OCEAN FISH 13KG,13kg,164979,9334214047737,ADVANCE,$153.00,N/A,N/A,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-dental-25kg-p-32040,32040,ADVANCE ADULT DOG TOY SMALL BREED DENTAL 2.5KG,5kg,164961,9334214045856,ADVANCE,$46.05,5.0,2,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-chicken-3kg-p-32043,32043,ADVANCE ADULT DOG TOY SMALL BREED CHICKEN 3KG,3kg,164964,9334214045931,ADVANCE,$46.60,5.0,3,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-retriever-13kg-p-32058,32058,ADVANCE ADULT DOG RETRIEVER 13KG,13kg,164980,9334214047744,ADVANCE,$153.00,4.3,6,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-terrier-25kg-p-32041,32041,ADVANCE ADULT DOG TERRIER 2.5KG,5kg,164962,9334214047669,ADVANCE,$46.05,3.0,2,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-shepherd-13kg-p-32059,32059,ADVANCE ADULT DOG SHEPHERD 13KG,13kg,164981,9334214047751,ADVANCE,$153.00,4.3,3,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-medium-breed-mature-chicken-15kg-p-32060,32060,ADVANCE ADULT DOG MEDIUM BREED MATURE CHICKEN 15KG,15kg,164982,9334214046112,ADVANCE,$157.00,4.9,8,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-medium-breed-lamb-and-rice-15kg-p-17156,17156,ADVANCE DOG ADULT MEDIUM BREED LAMB AND RICE 15KG,15kg,164617,9334214024080,ADVANCE,$150.00,4.3,7,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-lamb-large-breed-15kg-p-29068,29068,ADVANCE DOG ADULT LAMB LARGE+ BREED 15KG,15kg,165753,9334214038551,ADVANCE,$159.00,5.0,4,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-turkey-3kg-p-32042,32042,ADVANCE ADULT DOG TOY SMALL BREED TURKEY 3KG,3kg,164963,9334214045917,ADVANCE,$46.60,N/A,N/A,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-mature-chicken-3kg-p-32044,32044,ADVANCE ADULT DOG TOY SMALL BREED MATURE CHICKEN 3KG,3kg,164965,9334214045955,ADVANCE,$46.60,4.8,4,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-bulk-bag-dog-adult-medium-breed-chicken-20kg-p-25369,25369,ADVANCE BULK BAG DOG ADULT MEDIUM BREED CHICKEN 20KG,20kg,164853,9334214024295,ADVANCE,$170.00,4.9,29,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-adult-dog-toy-small-breed-turkey-8kg-p-32048,32048,ADVANCE ADULT DOG TOY SMALL BREED TURKEY 8KG,8kg,164970,9334214045979,ADVANCE,$102.00,5.0,6,LimitedAvailability
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-bulk-bag-puppy-growth-medium-breed-chicken-20kg-p-25371,25371,ADVANCE BULK BAG PUPPY GROWTH MEDIUM BREED CHICKEN 20KG,20kg,164855,9334214024264,ADVANCE,$164.00,4.6,9,InStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-bulk-bag-puppy-growth-large-breed-chicken-20kg-p-25372,25372,ADVANCE BULK BAG PUPPY GROWTH LARGE+ BREED CHICKEN 20KG,20kg,164856,9334214024271,ADVANCE,$170.00,4.9,12,OutOfStock
02/15/2023, 11:33:04,https://www.mypetwarehouse.com.au/advance-dog-adult-weight-control-large-breed-chicken-13kg-p-17161,17161,ADVANCE DOG ADULT WEIGHT CONTROL LARGE+ BREED CHICKEN 13KG,13kg,240009,9334214024103,ADVANCE,$153.00,N/A,N/A,InStock
