product_id,productSKU,sku,product_name,Member_Price,Regular_Price,ratings,number_of_reviews,lifeStage,optionKey,has_member_price,name,product_category,brand_filter,size,life_stage,flavour,australia_made,nutrition_grade,weight_control,member_price,hasEndDate,on_sale
95997,133076,,Prime100 Kangaroo & Pumpkin Cooked Dog Roll 2kg,,22.99,N/A,N/A,Adult,,,,,,,,,,,,,,
93009,135919,,Prime100 Turkey & Flaxseed Cooked Dog Roll 2kg,,18.99,N/A,N/A,Adult:Senior,,,,,,,,,,,,,,
97218,133077,,Prime100 Chicken & Brown Rice Cooked Dog Roll 2kg,,20.99,100%,1,Adult:All:Senior,,,,,,,,,,,,,,
88734,135918,,Prime100 SPD SKD200 Salmon & Tapioca Dog Roll 2kg,,23.99,N/A,N/A,Adult,,,,,,,,,,,,,,
87993,133078,,Prime100 Dog Lamb & Rosemary Cooked Roll 2kg,,28.99,N/A,N/A,Adult:Puppy,,,,,,,,,,,,,,
93156,138474,,Prime100 Sk-D 200F Wild Boar & Pumpkin Roll Dog Food 2kg,,22.99,N/A,N/A,Adult,,,,,,,,,,,,,,
87072,507515,,Prime100 Kangaroo & Potato SKD200 Dog Roll 2kg,,22.99,N/A,N/A,Adult,,,,,,,,,,,,,,
127626,3219209,,Prime100 Sk-G 200F Duck & Sweet Potato Roll Dog Food 2kg,,22.99,N/A,N/A,Adult,,,,,,,,,,,,,,
170462,142847,,Prime100 Sk-G 200F Turkey & Flaxseed Roll Puppy Food 1kg,,8.99,N/A,N/A,Puppy,,,,,,,,,,,,,,
170459,142846,,Prime100 Sk-D 200 Salmon & Tapioca Roll Puppy Food 1kg,,11.99,N/A,N/A,Puppy,,,,,,,,,,,,,,
170789,142924,,Prime100 Spd Raw Kangaroo & Vegetable Dog Food 1.7kg,,25.99,N/A,N/A,Adult,,,,,,,,,,,,,,
177739,prime100-lamb-&-rosemary-adult-dog-food,142850,Prime100 Air Dried Lamb & Rosemary Adult Dog Food,$118.14,$138.99,N/A,N/A,Puppy,170471,True,Prime100 Air Dried Lamb & Rosemary Adult Dog Food 2.2kg,Dry Food,Prime100,2.2kg,Adult,Lamb,No,Superior,No,Member price,False,
177739,prime100-lamb-&-rosemary-adult-dog-food,142854,Prime100 Air Dried Lamb & Rosemary Adult Dog Food,$39.09,$45.99,N/A,N/A,Puppy,170483,True,Prime100 Air Dried Lamb & Rosemary Adult Dog Food 600g,Dry Food,Prime100,600g,Adult,Lamb,No,Superior,No,Member price,False,
170804,142928,,Prime100 Spd Raw Chicken Apple & Blueberry Puppy Food 1.7kg,,19.99,N/A,N/A,Puppy,,,,,,,,,,,,,,
170798,142927,,Prime100 Spd Raw Chicken & Vegetable Dog Food 1.7kg,,19.99,N/A,N/A,Adult,,,,,,,,,,,,,,
97608,134909,,Prime100 Kangaroo & Pumpkin Cooked Dog Roll 800g,,13.99,N/A,N/A,Adult:All:Puppy:Senior:Super Senior,,,,,,,,,,,,,,
170795,142926,,Prime100 Spd Raw Duck & Vegetable Dog Food 1.7kg,,23.99,N/A,N/A,Adult,,,,,,,,,,,,,,
170792,142925,,Prime100 Spd Raw Lamb & Vegetable Dog Food 1.7kg,,25.99,N/A,N/A,Adult,,,,,,,,,,,,,,
177736,prime100-kangaroo-&-pumpkin-adult-dog-food,142848,Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food,$144.49,$169.99,N/A,N/A,Puppy,170465,True,Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food 2.2kg,Dry Food,Prime100,2.2kg,Adult,Kangaroo,No,Superior,No,Member price,False,
177736,prime100-kangaroo-&-pumpkin-adult-dog-food,142852,Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food,$45.89,$53.99,N/A,N/A,Puppy,170477,True,Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food 600g,Dry Food,Prime100,600g,Adult,Kangaroo,No,Superior,No,Member price,False,
177799,prime100-lamb-apple-&-blueberry-puppy-food,142856,Prime100 Air Dried Lamb Apple & Blueberry Puppy Food,$39.09,$45.99,N/A,N/A,Puppy,170489,True,Prime100 Air Dried Lamb Apple & Blueberry Puppy Food 600g,Dry Food,Prime100,600g,Puppy,Lamb,No,Superior,No,Member price,False,Sale
177799,prime100-lamb-apple-&-blueberry-puppy-food,142857,Prime100 Air Dried Lamb Apple & Blueberry Puppy Food,$118.14,$138.99,N/A,N/A,Puppy,170492,True,Prime100 Air Dried Lamb Apple & Blueberry Puppy Food 2.2kg,Dry Food,Prime100,2.2kg,Puppy,Lamb,No,Superior,No,Member price,False,Sale
96600,134908,,Prime100 Turkey & Flaxseed Cooked Dog Roll 800g,,11.99,N/A,N/A,Adult:Puppy,,,,,,,,,,,,,,
177793,prime100-duck-&-sweet-potato-adult-dog-food,142849,Prime100 Air Dried Duck & Sweet Potato Adult Dog Food,$121.54,$142.99,N/A,N/A,Puppy,170468,True,Prime100 Air Dried Duck & Sweet Potato Adult Dog Food 2.2kg,Dry Food,Prime100,2.2kg,Adult,Duck,No,Superior,No,Member price,False,
177793,prime100-duck-&-sweet-potato-adult-dog-food,142853,Prime100 Air Dried Duck & Sweet Potato Adult Dog Food,$39.09,$45.99,N/A,N/A,Puppy,170480,True,Prime100 Air Dried Duck & Sweet Potato Adult Dog Food 600g,Dry Food,Prime100,600g,Adult,Duck,No,Superior,No,Member price,False,
