product_id,product_sku,product_name,regular_price,member_price,save_amount,product_size,Product Category,Treat Type,Food Type,Advice Care,Brand,Flavour,Ingredients,Nutrition Grade,Breed,Life Stage,Health Benefits,Australia Made,Health Condition Dietary
63051,30299,Royal Canin Maxi Adult Dog Food - 15kg,184.99,127.84,57.15,15kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,,"maize, maize flour, dehydrated poultry meat, animal fats, maize gluten, hydrolysed animal proteins, dehydrated pork protein, beet pulp, minerals, fish oil, soya oil, yeasts, egg powder, hydrolysed crustaceans (source of glucosamine), hydrolysed cartilage (source of chondroitin).ADDITIVES (per kg): Nutritional additives: Vitamin A: 10500 IU, Vitamin D3: 1000 IU, E1 (Iron): 45 mg, E2 (Iodine): 2.4 mg, E4 (Copper): 8 mg, E5 (Manganese): 60 mg, E6 (Zinc): 197 mg, E8 (Selenium): 0.08 mg, Taurine: 0.3 g - Preservatives - Antioxidants.ANALYTICAL CONSTITUENTS: Protein: 26% - Fat content: 17% - Crude ash: 5.8% - Crude fibres: 1.4% - EPA and DHA fatty acids: 4.2 g/kg.",Superior,Large,Adult,,No,Complete feed for adult large breed dogs (from 26 to 44 kg) from 15 months to 5 years old.
109329,127959,Black Hawk Lamb And Rice Adult Dog Food - 20kg,171.99,129.99,42,20kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Lamb,"Lamb Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Choline Chloride, Potassium Chloride, Chicory, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Zinc Amino Acid Chelate, Iron Sulphate, Vitamin A-Acetate, Vitamin D3 Supplement, Manganous Oxide, Vitamin E Supplement, Vitamin B12 Supplement, Copper Sulphate, Manganese Amino Acid Chelate, Copper Amino Acid Chelate, Riboflavin, Niacin, Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride, Thiamine Mononitrate, D-Biotin, Calcium Iodate, Sodium Selenite, Cobalt Carbonate.",Premium,,Adult,,Yes,
109323,127955,Black Hawk Lamb And Rice Adult Dog Food - 3kg,50.99,,,3kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Lamb,"Lamb Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Choline Chloride, Potassium Chloride, Chicory, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Zinc Amino Acid Chelate, Iron Sulphate, Vitamin A-Acetate, Vitamin D3 Supplement, Manganous Oxide, Vitamin E Supplement, Vitamin B12 Supplement, Copper Sulphate, Manganese Amino Acid Chelate, Copper Amino Acid Chelate, Riboflavin, Niacin, Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride, Thiamine Mononitrate, D-Biotin, Calcium Iodate, Sodium Selenite, Cobalt Carbonate.",Premium,,Adult,,Yes,
109317,501601,Black Hawk Lamb & Rice Adult Dog Food 10kg,121.99,102.99,19,10kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Lamb,"Lamb Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Choline Chloride, Potassium Chloride, Chicory, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Zinc Amino Acid Chelate, Iron Sulphate, Vitamin A-Acetate, Vitamin D3 Supplement, Manganous Oxide, Vitamin E Supplement, Vitamin B12 Supplement, Copper Sulphate, Manganese Amino Acid Chelate, Copper Amino Acid Chelate, Riboflavin, Niacin, Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride, Thiamine Mononitrate, D-Biotin, Calcium Iodate, Sodium Selenite, Cobalt Carbonate.",Premium,,Adult,,Yes,
81420,137418,Leaps & Bounds Kangaroo & Vegetable Large Breed Adult Dog Food 15Kg,86.99,64.99,22,15kg,Dry Food,,,"Ensure your dog always has fresh, clean water.",Leaps & Bounds,,"Meat meals (kangaroo, poultry and/or beef), wholegrain cereals and cereal meals (including rice), vegetable meals and vegetables (derived from soybeans, peas, carrots), poultry fat, poultry digest, beet pulp (prebiotic dietary fibre), salt, fish oil (contains omega 3 fatty acids), potassium chloride, Vegetable oil (linseed and/or canola), chicory root inulin (prebiotic), choline chloride, essential minerals and vitamins (Iron, Zinc, Copper, Manganese, Selenium, Iodine, E, B5, B3, B2, B12, B1, A, D, B6, B9), garlic, kelp meal, natural antioxidants, yucca extract.",Essential,Large,Adult,,Yes,"Leaps & Bounds is a 100% natural dog food with added vitamins and minerals, that provides a complete and balanced nutrition and the great taste that dogs will look forward to every meal time. Good quality protein is used as the lead ingredient to help build and maintain muscle mass.The recipes include whole grain and vegetables to provide good fibre levels and natural prebiotics to support digestive health and maintain a healthy intestinal tract. It also features antioxidants and Omega 3 and 6 oils from natural sources to help strengthen the immune system and support a healthy skin and coat.Leaps & Bounds meets all the nutritional requirements established by the Association of American Feed Control Officials for dog food. It is an Australian made and owned product and contains no artificial colours, preservatives or flavours."
116571,132429,Black Hawk Large Breed Adult Formula Chicken & Rice 20kg,186.99,136.99,50,20kg,Dry Food,,,,Black Hawk,Chicken,"Chicken Meal, Ground Rice, Oats, Fish Meal, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet pulp, Canola Oil, Kelp, Salt, Glucosamine, Chondroitin, Essential Vitamins & Minerals, Kelp, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries.",Premium,Large,Adult,Natural,Yes,
62448,29328,Royal Canin Labrador Dog Food 3kg,53.99,40.73,13.26,3kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"dehydrated poultry protein, maize, rice, maize gluten, animal fats, hydrolysed animal proteins, vegetable protein isolate*, vegetable fibres, beet pulp, yeasts, minerals, fish oil, soya oil, psyllium husks and seeds, fructooligo-saccharides, hydrolysed crustaceans (source of glucosamine), borage oil (0.1%), green tea and grape extracts (source of polyphenols), marigold extract(source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 23900 IU, Vitamin D3: 800 IU, E1 (Iron): 39 mg, E2 (Iodine): 2.7 mg, E4 (Copper): 1 mg, E5 (Manganese): 52 mg, E6 (Zinc): 194 mg, E8 (Selenium): 0.1 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 30% - Fat content: 13% - Crude ash: 6.6% - Crude fibres: 3.6% - EPA and DHA fatty acids: 4 g/kg",Superior,Labrador Retriever,"Adult, Senior",,No,Complete feed for adult and mature Labradors over 15 months old.
62985,30327,Royal Canin Labrador Dog Food 12kg,162.99,102.99,60,12kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"dehydrated poultry protein, maize, rice, maize gluten, animal fats, hydrolysed animal proteins, vegetable protein isolate*, vegetable fibres, beet pulp, yeasts, minerals, fish oil, soya oil, psyllium husks and seeds, fructooligo-saccharides, hydrolysed crustaceans (source of glucosamine), borage oil (0.1%), green tea and grape extracts (source of polyphenols), marigold extract(source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 23900 IU, Vitamin D3: 800 IU, E1 (Iron): 39 mg, E2 (Iodine): 2.7 mg, E4 (Copper): 1 mg, E5 (Manganese): 52 mg, E6 (Zinc): 194 mg, E8 (Selenium): 0.1 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 30% - Fat content: 13% - Crude ash: 6.6% - Crude fibres: 3.6% - EPA and DHA fatty acids: 4 g/kg",Superior,Labrador Retriever,"Adult, Senior",,No,Complete feed for adult and mature Labradors over 15 months old.
74946,133292,Royal Canin Veterinary Gastro Intst LF Adult Dog Food 12kg,218.99,148.99,70,12kg,Dry Food,,,INDICATIONS: Acute and chronic diarrhoea Acute and chronic pancreatitis  Hyperlipidaemia Lymphangiectasia - exudative enteropahy Bacterial overgrowth Exocrine pancreatic insufficiency (EPI)CONTRAINDICATIONS: Pregnancy Lactation,Royal Canin Veterinary Diet,,"Rice,  dehydrated  poultry  protein,  wheat,  barley, hydrolysed  animal  proteins,  beet  pulp,  yeasts, animal  fats,  minerals,  Fructo-Oligo-Saccharides (FOS), psyllium husks and seeds, fish oil, hydrolysed yeast  (source  of  Mannan-Oligo-Saccharides), marigold extract (source of lutein",,,Adult,Digestive Health,No,Recommended for canine pancreatitis
74805,113968,Royal Canin Golden Retriever Dog Food 12kg,162.99,115.27,47.72,12kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,,"dehydrated poultry protein, maize, rice, wheat, animal fats, vegetable protein isolate*, hydrolysed animal proteins, vegetable fibres, beet pulp, fish oil, minerals, soya oil, dehydrated tomato, psyllium husks and seeds, fructo-oligo saccharides, hydrolysed crustaceans (source of glucosamine), borage oil (0.1%), green tea and grape extracts (source of polyphenols), marigold extract (source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 25000 IU, Vitamin D3: 800 IU, E1 (Iron): 41 mg, E2 (Iodine): 2.8 mg, E4 (Copper): 10 mg, E5 (Manganese): 54 mg, E6 (Zinc): 203 mg, E8 (Selenium): 0.1 mg, Taurine: 2.9 g - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 25% - Fat content: 13% - Crude ash: 6.1% - Crude fibres: 3.7% - EPA and DHA fatty acids: 4.1 g/kg.",Superior,Golden Retriever,"Adult, Senior",,No,Complete dog feed for adult and mature Golden Retrievers over 15 months old.
