product_id,product_sku,product_name,regular_price,member_price,save_amount,product_size,Product Category,Treat Type,Food Type,Advice Care,Brand,Flavour,Ingredients,Nutrition Grade,Breed,Life Stage,Health Benefits,Australia Made,Health Condition Dietary
147906,140928,The Nosh Project Salmon Bowl Adult Dog Meal 500g,14.99,,,500g,Frozen Food,,Frozen,"If feeding The Nosh Project for the first time, gradually transition to this new food over a period of 5 to 7 days. Please refer to website for full feeding instructions. The feeding amounts should be seen as a guide only. Your pet may need more or less depending on your dog's size, age, breed and activity level.",The Nosh Project,,"Salmon, potato, rice, broccoli, carrots, spinach, chicken liver, Nourish 27  (vitamins, minerals & DHA), vegetable oil, psyllium husk, salt.",,,Adult,"Complete Health, Natural",Yes,Suitable for adult dogs.
147897,140922,The Nosh Project Chicken Bowl Adult Dog Meal 500g,13.99,,,500g,Frozen Food,,Frozen,"If feeding The Nosh Project for the first time, gradually transition to this new food over a period of 5 to 7 days. Please refer to website for full feeding instructions. The feeding amounts should be seen as a guide only. Your pet may need more or less depending on your dog's size, age, breed and activity level.",The Nosh Project,,"Chicken breast, rice, potato, broccoli, carrots, spinach, chicken liver, Nourish 27  (vitamins, minerals & DHA), vegetable oil, psyllium husk, salt.",,,Adult,"Complete Health, Natural",Yes,Suitable for adult dogs.
147900,140924,The Nosh Project Beef Bowl Adult Dog Meal 500g,14.99,,,500g,Frozen Food,,Frozen,"If feeding The Nosh Project for the first time, gradually transition to this new food over a period of 5 to 7 days. Please refer to website for full feeding instructions. The feeding amounts should be seen as a guide only. Your pet may need more or less depending on your dog's size, age, breed and activity level.",The Nosh Project,,"Beef, brown rice, potato, broccoli, carrots, spinach, beef liver, Nourish 27  (vitamins, minerals & DHA), vegetable oil, psyllium husk, salt.",,,Adult,"Complete Health, Natural",Yes,Suitable for adult dogs.
147909,140930,The Nosh Project Chicken Bowl Puppy Meal 500g,13.99,,,500g,Frozen Food,,Frozen,"If feeding The Nosh Project for the first time, gradually transition to this new food over a period of 5 to 7 days. Please refer to website for full feeding instructions. The feeding amounts should be seen as a guide only. Your pet may need more or less depending on your dog's size, age, breed and activity level.",The Nosh Project,,"Chicken breast, rice, potato, broccoli, carrots, spinach, chicken liver, Nourish 27  (vitamins, minerals & DHA), vegetable oil, psyllium husk, salt.",,,Puppy,"Complete Health, Natural",Yes,Suitable for puppies.
147903,140926,The Nosh Project Kangaroo Bowl Adult Dog Meal 500g,13.99,,,500g,Frozen Food,,Frozen,"If feeding The Nosh Project for the first time, gradually transition to this new food over a period of 5 to 7 days. Please refer to website for full feeding instructions. The feeding amounts should be seen as a guide only. Your pet may need more or less depending on your dog's size, age, breed and activity level.",The Nosh Project,,"Kangaroo, pasta, potato, broccoli, carrots, spinach, beef liver, Nourish 27  (vitamins, minerals & DHA), vegetable oil, psyllium husk, salt.",,,Adult,"Complete Health, Natural",Yes,Suitable for adult dogs.
95997,133076,Prime100 Kangaroo & Pumpkin Cooked Dog Roll 2kg,22.99,,,2kg,Fresh Food,,,,Prime100,,"Kangaroo, pumpkin, tapioca starch, vitamins, minerals, flaxseed oil, psyllium husk, sunflower oil, evening primrose oil, salt.",,,Adult,"Digestive Health, Gluten Free, Grain Free, Sensitive Skin, Sensitive Stomach, Urinary Tract Health",Yes,Designed for dogs with low to acute food allergies
93009,135919,Prime100 Turkey & Flaxseed Cooked Dog Roll  2kg,18.99,,,2kg,Fresh Food,,,,Prime100,,"Turkey, tapioca, Flaxseed , Vitamins , Minerals , Psyillium husk, sunflo wer oil, evening primrose oil, salt , Innulin.",,,"Adult, Senior","Active, Digestive Health, Gluten Free, Grain Free, Skin & Coat Health",Yes,"Dogs of all ages, Dogs with skin indications and also designed for puppies"
97218,133077,Prime100 Chicken & Brown Rice Cooked Dog Roll 2kg,20.99,,,2kg,Fresh Food,,,,Prime100,,"Chicken, brown rice, potato starch, vitamins, minerals, flaxseed oil, psyllium husk, sunflower oil, salt.",,,"Adult, All, Senior","Digestive Health, Gluten Free, Nutritious",Yes,Designed for all dogs including large/giant breeds
88734,135918,Prime100 SPD SKD200 Salmon & Tapioca Dog Roll 2kg,23.99,,,2kg,Fresh Food,,,,Prime100,,"Salmon, tapioca starch, bamboo fibre, sunflower oil, vitamins, minerals, salt, celery seed extract.",,,Adult,"Allergy, Digestive Health, Gluten Free, Grain Free, Sensitive Skin, Sensitive Stomach, Skin & Coat Health",Yes,Designed for dogs with low to acute food allergies
117676,501058,Big Dog Barf Combo Dog Patties 3kg,27.99,,,3kg,Frozen Food,,,"Pet Food ONLY. Not for human consumption.      Keep FrozenBe sure to keep raw food portions frozen until ready for thawing. Defrost properlyPlace required portions of frozen raw food in the fridge and allow time for defrosting. Place in hot water if required sooner. Storage and safetyKeep thawed patties in the fridge for no longer than 48 hours and do not cook as our recipes contain bone. Wash wellThoroughly wash all utensils, work areas and hands with warm soapy water after contacting raw food.",Big Dog,,"Chicken (meat, crushed bone),  beef (meat, liver, kidney, washed tripe), lamb (meat, crushed bone), pork (liver, kidney), seasonal fruit & vegetables (green bananas, carrots, green beans, celery, broccoli, zucchini, orange, apple, strawberries, blueberries), Tasmanian salmon,  whole chicken egg, sprouted wheatgrass, cold pressed ground flaxseed, goats whey, psyllium, kelp, organic fulvic acid.",,,Adult,"Grain Free, Natural, Skin & Coat Health, Total Wellbeing",Yes,"This product  is suitable for dogs of all shapes and sizes and perfect for healthy skin, joints, teeth and immunity. Raw food diets are great for weight loss and can help manage many health issues associated with aging dogs."
