product_name,product_sku,variant_sku,product_weight,category,member_price,regular_price,final_price,life_stage
Prime100 Kangaroo & Pumpkin Cooked Dog Roll 2kg,133076,N/A,2kg,Dog-Brand-Prime100,,22.99,22.99,Adult
Prime100 Chicken & Brown Rice Cooked Dog Roll 2kg,133077,N/A,2kg,Dog-Brand-Prime100,,20.99,20.99,Adult:All:Senior
Prime100 Turkey & Flaxseed Cooked Dog Roll  2kg,135919,N/A,2kg,Dog-Brand-Prime100,,18.99,18.99,Adult:Senior
Prime100 SPD SKD200 Salmon & Tapioca Dog Roll 2kg,135918,N/A,2kg,Dog-Brand-Prime100,,23.99,23.99,Adult
Prime100 Dog Lamb & Rosemary Cooked Roll 2kg,133078,N/A,2kg,Dog-Brand-Prime100,,28.99,28.99,Adult:Puppy
Prime100 Sk-D 200F Wild Boar & Pumpkin Roll Dog Food 2kg,138474,N/A,2kg,Dog-Brand-Prime100,,22.99,22.99,Adult
Prime100 Spd Raw Kangaroo & Vegetable Dog Food 1.7kg,142924,N/A,7kg,Dog-Brand-Prime100,,25.99,25.99,Adult
Prime100 Kangaroo & Potato SKD200 Dog Roll 2kg,507515,N/A,2kg,Dog-Brand-Prime100,,22.99,22.99,Adult
Prime100 Sk-G 200F Duck & Sweet Potato Roll Dog Food 2kg,3219209,N/A,2kg,Dog-Brand-Prime100,,22.99,22.99,Adult
Prime100 Spd Raw Chicken Apple & Blueberry Puppy Food 1.7kg,142928,N/A,7kg,Dog-Brand-Prime100,,19.99,19.99,Puppy
Prime100 Spd Raw Duck & Vegetable Dog Food 1.7kg,142926,N/A,7kg,Dog-Brand-Prime100,,23.99,23.99,Adult
Prime100 Sk-G 200F Turkey & Flaxseed Roll Puppy Food 1kg,142847,N/A,1kg,Dog-Brand-Prime100,,8.99,8.99,Puppy
Prime100 Sk-D 200 Salmon & Tapioca Roll Puppy Food 1kg,142846,N/A,1kg,Dog-Brand-Prime100,,11.99,11.99,Puppy
Prime100 Spd Raw Chicken & Vegetable Dog Food 1.7kg,142927,N/A,7kg,Dog-Brand-Prime100,,19.99,19.99,Adult
Prime100 Spd Raw Lamb & Vegetable Dog Food 1.7kg,142925,N/A,7kg,Dog-Brand-Prime100,,25.99,25.99,Adult
Prime100 Kangaroo & Pumpkin Cooked Dog Roll 800g,134909,N/A,800g,Dog-Brand-Prime100,,13.99,13.99,Adult:All:Puppy:Senior:Super Senior
Prime100 Turkey & Flaxseed Cooked Dog Roll 800g,134908,N/A,800g,Dog-Brand-Prime100,,11.99,11.99,Adult:Puppy
Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food,prime100-kangaroo-&-pumpkin-adult-dog-food,142848,2.2kg,Dog-Brand-Prime100,144.49,169.99,169.99,Puppy
Prime100 Air Dried Kangaroo & Pumpkin Adult Dog Food,prime100-kangaroo-&-pumpkin-adult-dog-food,142852,600g,Dog-Brand-Prime100,45.89,53.99,53.99,Puppy
Prime100 Air Dried Lamb Apple & Blueberry Puppy Food,prime100-lamb-apple-&-blueberry-puppy-food,142856,600g,Dog-Brand-Prime100,39.09,45.99,45.99,Puppy
Prime100 Air Dried Lamb Apple & Blueberry Puppy Food,prime100-lamb-apple-&-blueberry-puppy-food,142857,2.2kg,Dog-Brand-Prime100,118.14,138.99,138.99,Puppy
Prime100 Air Dried Chicken & Brown Rice Adult Dog Food,prime100-chicken-&-brown-rice-adult-dog-food,142851,2.2kg,Dog-Brand-Prime100,110.49,129.99,129.99,Puppy
Prime100 Air Dried Chicken & Brown Rice Adult Dog Food,prime100-chicken-&-brown-rice-adult-dog-food,142855,600g,Dog-Brand-Prime100,33.99,39.99,39.99,Puppy
Prime100 Air Dried Duck & Sweet Potato Adult Dog Food,prime100-duck-&-sweet-potato-adult-dog-food,142849,2.2kg,Dog-Brand-Prime100,121.54,142.99,142.99,Puppy
Prime100 Air Dried Duck & Sweet Potato Adult Dog Food,prime100-duck-&-sweet-potato-adult-dog-food,142853,600g,Dog-Brand-Prime100,39.09,45.99,45.99,Puppy
Prime100 Air Dried Lamb & Rosemary Adult Dog Food,prime100-lamb-&-rosemary-adult-dog-food,142850,2.2kg,Dog-Brand-Prime100,118.14,138.99,138.99,Puppy
Prime100 Air Dried Lamb & Rosemary Adult Dog Food,prime100-lamb-&-rosemary-adult-dog-food,142854,600g,Dog-Brand-Prime100,39.09,45.99,45.99,Puppy
