scraped_date,scraped_time,product_name,product_sku,variant_sku,product_weight,category,member_price,regular_price,final_price,life_stage
02/27/2023, 12:15:29,Providore Chicken with Manuka Honey Dog Treat,providore-chicken-with-manuka-honey-dog-treat,138818,185g,Dog-Treats,,20.99,20.99,Adult:All:Puppy
02/27/2023, 12:15:29,Providore Chicken with Manuka Honey Dog Treat,providore-chicken-with-manuka-honey-dog-treat,3218064,100g,Dog-Treats,,12.49,12.49,Adult:All:Puppy
02/27/2023, 12:15:29,Providore Beef with Kiwi Fruit Dog Treat,providore-beef-with-kiwi-fruit-dog-treat,138813,100g,Dog-Treats,,12.49,12.49,Adult:All:Puppy
02/27/2023, 12:15:29,Providore Beef with Kiwi Fruit Dog Treat,providore-beef-with-kiwi-fruit-dog-treat,138814,185g,Dog-Treats,,20.99,20.99,Adult:All:Puppy
02/27/2023, 12:15:29,Leaps & Bounds Lamb With Blueberry Dog Jerky,leaps-&-bounds-lamb-with-blueberry-dog-jerky,142517,180g,Dog-Treats,,16.99,10,Adult
02/27/2023, 12:15:29,Leaps & Bounds Lamb With Blueberry Dog Jerky,leaps-&-bounds-lamb-with-blueberry-dog-jerky,142518,450g,Dog-Treats,,26.99,26.99,Adult
02/27/2023, 12:15:29,Leaps & Bounds Salmon With Pumpkin Dog Jerky,leaps-&-bounds-salmon-with-pumpkin-dog-jerky,142511,180g,Dog-Treats,,16.99,10,Adult
02/27/2023, 12:15:29,Leaps & Bounds Salmon With Pumpkin Dog Jerky,leaps-&-bounds-salmon-with-pumpkin-dog-jerky,142512,450g,Dog-Treats,,26.99,26.99,Adult
02/27/2023, 12:15:29,SavourLife Dog Training Treats Australian Kangaroo 165g,133072,N/A,165g,Dog-Treats,,14.99,14.99,Puppy
02/27/2023, 12:15:29,Probalance Toothbrush Variety Pack Large Dog Treat,probalance-toothbrush-variety-pack-large-dog-treat,3218889,15PK,Dog-Treats,24.99,28.99,28.99,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Variety Pack Large Dog Treat,probalance-toothbrush-variety-pack-large-dog-treat,3218891,30PK,Dog-Treats,41.99,48.99,48.99,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Variety Pack Medium Dog Treat,probalance-toothbrush-variety-pack-medium-dog-treat,3218890,57PK,Dog-Treats,41.99,48.99,48.99,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Variety Pack Medium Dog Treat,probalance-toothbrush-variety-pack-medium-dog-treat,3218888,29PK,Dog-Treats,24.99,28.99,28.99,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Parsley & Mint Large Dog Treat,probalance-toothbrush-parsley-&-mint-large-dog-treat,3218869,3PK,Dog-Treats,,5.79,4,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Parsley & Mint Large Dog Treat,probalance-toothbrush-parsley-&-mint-large-dog-treat,3218872,15PK,Dog-Treats,24.99,28.99,28.99,Adult
02/27/2023, 12:15:29,Probalance Toothbrush Parsley & Mint Large Dog Treat,probalance-toothbrush-parsley-&-mint-large-dog-treat,3218874,30PK,Dog-Treats,41.99,48.99,48.99,Adult
02/27/2023, 12:15:29,Butcher's Superior Cuts Australian Pork Ear Dog Treat,123903,N/A,N/A,Dog-Treats,,3.99,3.99,
02/27/2023, 12:15:29,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,butcher's-superior-cuts-long-last-pork-ear-dog-treat,136377,200g,Dog-Treats,,19.99,19.99,All
02/27/2023, 12:15:29,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,butcher's-superior-cuts-long-last-pork-ear-dog-treat,3213505,1.3kg,Dog-Treats,,89.99,89.99,All
02/27/2023, 12:15:29,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,butcher's-superior-cuts-long-last-pork-ear-dog-treat,3210653,850g,Dog-Treats,,68.99,68.99,All
02/27/2023, 12:15:29,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,butcher's-superior-cuts-long-last-pork-ear-dog-treat,3210086,400g,Dog-Treats,,39.99,39.99,All
02/27/2023, 12:15:29,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,butcher's-superior-cuts-long-last-pork-ear-dog-treat,3210087,400gx10,Dog-Treats,,199.5,199.5,All
02/27/2023, 12:15:29,Drool By Dr Chris Brown Teeth and Breath Dog Treat 110g,142923,N/A,110g,Dog-Treats,,13.99,13.99,All
02/27/2023, 12:15:29,Drool By Dr Chris Brown Calm And Collected Dog Treat 110g,142341,N/A,110g,Dog-Treats,,13.99,13.99,All
02/27/2023, 12:15:29,Barkers Best Variety Bone Biscuit Dog Treat 750g,138869,N/A,750g,Dog-Treats,,8.99,6,All
02/27/2023, 12:15:29,Barkers Best Peanut Butter Biscuits Dog Treat 750g,139548,N/A,750g,Dog-Treats,,8.99,6,All
02/27/2023, 12:15:29,Greenies Original 1.02kg Value Pack Large Dog Dental Treat,136368,N/A,N/A,Dog-Treats,49.99,69.99,69.99,Adult
02/27/2023, 12:15:29,Greenies Original 1.02kg Value Pack Regular Dog Dental Treat,136369,N/A,N/A,Dog-Treats,49.99,69.99,69.99,Adult
02/27/2023, 12:15:29,Nothin to Hide Chicken Twist Stix Dog Treat S-10PK,142944,N/A,N/A,Dog-Treats,,8.99,7.19,Adult
02/27/2023, 12:15:29,Nothin to Hide Peanut Butter Twist Stix Dog Treat S-10PK,142945,N/A,N/A,Dog-Treats,,8.99,7.19,Adult
