product_id,productSKU,sku,product_name,Member_Price,Regular_Price,ratings,number_of_reviews,lifeStage,optionKey,has_member_price,name,product_category,treat_type,brand_filter,breed,size,life_stage,health_benefits,australia_made,member_price,hasEndDate,description,short_description,on_sale
85152,138820,,Providore Variety Pack Dog Treat 100g 4Pack,,43.99,N/A,N/A,All,,,,,,,,,,,,,,,,
74019,138816,,Providore Lamb & Sweet Potato Dog Treat 100g,,12.49,N/A,N/A,All,,,,,,,,,,,,,,,,
78171,133073,,SavourLife Australian Chicken Dog Training Treat 165g,,14.99,N/A,N/A,Puppy,,,,,,,,,,,,,,,,
76101,133072,,SavourLife Dog Training Treats Australian Kangaroo 165g,,14.99,N/A,N/A,Puppy,,,,,,,,,,,,,,,,
136584,probalance-toothbrush-variety-pack-large-dog-treat,3218889,Probalance Toothbrush Variety Pack Large Dog Treat,$24.99,$28.99,N/A,N/A,Adult,120778,True,Probalance Toothbrush Variety Pack Large Dog Treat 15Pk,Treats,Dental,ProBalance,Large,15PK,Adult,Dental & Oral Care,No,Member Offer,False,,,
136584,probalance-toothbrush-variety-pack-large-dog-treat,3218891,Probalance Toothbrush Variety Pack Large Dog Treat,$41.99,$48.99,N/A,N/A,Adult,120439,True,Probalance Toothbrush Variety Pack Large Dog Treat 30Pk,Treats,Dental,ProBalance,Large,30PK,Adult,Dental & Oral Care,No,Member Offer,False,,,
137682,probalance-toothbrush-variety-pack-medium-dog-treat,3218890,Probalance Toothbrush Variety Pack Medium Dog Treat,$41.99,$48.99,100%,1,Adult,126939,True,Probalance Toothbrush Variety Pack Medium Dog Treat 57Pk,Treats,Dental,ProBalance,Medium,57PK,Adult,Dental & Oral Care,No,Member Offer,False,,,
137682,probalance-toothbrush-variety-pack-medium-dog-treat,3218888,Probalance Toothbrush Variety Pack Medium Dog Treat,$24.99,$28.99,100%,1,Adult,126930,True,Probalance Toothbrush Variety Pack Medium Dog Treat 29Pk,Treats,Dental,ProBalance,Medium,29PK,Adult,Dental & Oral Care,No,Member Offer,False,,,
136374,probalance-toothbrush-parsley-&-mint-large-dog-treat,3218872,Probalance Toothbrush Parsley & Mint Large Dog Treat,$24.99,$28.99,N/A,N/A,Adult,124524,True,Probalance Toothbrush Parsley & Mint Large Dog Treat 15Pk,Treats,Dental,ProBalance,Large,15PK,Adult,Dental & Oral Care,No,Member Offer,False,"ProBalance is developed by our team of expert nutritionists and veterinary scientists to help your pet thrive through a balance of nature and science. 
<br/><br/>
Treat your dog and support their oral health with these dental toothbrush treats, that have been deliciously designed to help clean teeth & freshen breath in a parsley & mint flavour dogs love. The toothbrush shape & texture helps scrub away plaque & tartar, whilst parsley & peppermint oil help freshen breath. Rapidly absorbing Vitamin C promotes gum health and more effective plaque removal. These dental treats are easy to digest and gentle on stomachs.<br/><br/>

All ProBalance treats have no artificial colours, flavours or preservatives.",Treat your dog and support their oral health with these dental toothbrush treats. Deliciously designed to help clean teeth & freshen breath in a parsley & mint flavour dogs love. ,Sale
136374,probalance-toothbrush-parsley-&-mint-large-dog-treat,3218874,Probalance Toothbrush Parsley & Mint Large Dog Treat,$41.99,$48.99,N/A,N/A,Adult,124518,True,Probalance Toothbrush Parsley & Mint Large Dog Treat 30Pk,Treats,Dental,ProBalance,Large,30PK,Adult,Dental & Oral Care,No,Member Offer,False,"ProBalance is developed by our team of expert nutritionists and veterinary scientists to help your pet thrive through a balance of nature and science. 
<br/><br/>
Treat your dog and support their oral health with these dental toothbrush treats, that have been deliciously designed to help clean teeth & freshen breath in a parsley & mint flavour dogs love. The toothbrush shape & texture helps scrub away plaque & tartar, whilst parsley & peppermint oil help freshen breath. Rapidly absorbing Vitamin C promotes gum health and more effective plaque removal. These dental treats are easy to digest and gentle on stomachs.<br/><br/>

All ProBalance treats have no artificial colours, flavours or preservatives.",Treat your dog and support their oral health with these dental toothbrush treats. Deliciously designed to help clean teeth & freshen breath in a parsley & mint flavour dogs love. ,Sale
110787,butcher's-superior-cuts-long-last-pork-ear-dog-treat,,Butcher's Superior Cuts Long Last Pork Ear Dog Treat,,89.99,N/A,N/A,All,,,,,,,,,,,,,,,,
112281,butcher's-superior-cuts-long-last-beef-ear-dog-treat,,Butcher's Superior Cuts Long Last Beef Ear Dog Treat,,76.99,N/A,N/A,All,,,,,,,,,,,,,,,,
170723,142923,,Drool By Dr Chris Brown Teeth and Breath Dog Treat 110g,,13.99,N/A,N/A,All,,,,,,,,,,,,,,,,
162211,142341,,Drool By Dr Chris Brown Calm And Collected Dog Treat 110g,,13.99,N/A,N/A,All,,,,,,,,,,,,,,,,
116850,138869,,Barkers Best Variety Bone Biscuit Dog Treat 750g,,7.19,N/A,N/A,All,,,,,,,,,,,,,,,,
130101,139548,,Barkers Best Peanut Butter Biscuits Dog Treat 750g,,7.19,N/A,N/A,All,,,,,,,,,,,,,,,,
76764,136368,,Greenies Original 1.02kg Value Pack Large Dog Dental Treat,,69.99,N/A,N/A,Adult,,,,,,,,,,,,,,,,
76371,136369,,Greenies Original 1.02kg Value Pack Regular Dog Dental Treat,,69.99,100%,1,Adult,,,,,,,,,,,,,,,,
170849,142944,,Nothin to Hide Chicken Twist Stix Dog Treat S-10PK,,7.19,N/A,N/A,Adult,,,,,,,,,,,,,,,,
170813,142932,,Whimzees Brushzees Dog Treat Loose Medium,,2.29,N/A,N/A,Adult,,,,,,,,,,,,,,,,
