Scraped_Date,Scraped_Time,brand,brandless_name,product_id,product_name,skus,display_name,auto_delivery_price,recommended_retail_price,rrp_discount_price,single_order_price
02/15/2023, 14:55:45,Hills Science Diet,Adult Large Breed Dry Dog Food,hills-science-diet-adult-large-breed-dry-dog-food,Hills Science Diet Adult Large Breed Dry Dog Food,H6944,7.5 kg,78.81,91.5,9,82.95
02/15/2023, 14:55:45,Hills Science Diet,Adult Large Breed Dry Dog Food,hills-science-diet-adult-large-breed-dry-dog-food,Hills Science Diet Adult Large Breed Dry Dog Food,H6946,15 kg,101.61,138.5,23,106.95
02/15/2023, 14:55:45,Hills Science Diet,Adult Large Breed Dry Dog Food,hills-science-diet-adult-large-breed-dry-dog-food,Hills Science Diet Adult Large Breed Dry Dog Food,10315HG,12kg,131.45,155.5,11,138.36
02/15/2023, 14:55:45,Hills Science Diet,Adult Large Breed Dry Dog Food,hills-science-diet-adult-large-breed-dry-dog-food,Hills Science Diet Adult Large Breed Dry Dog Food,10315HGVO2X,2 x 12kg,271.18,311.0,13,271.18
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Chicken Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-chicken-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Chicken Sweet Potato,IBGFCP05,5kg,56.0,70.0,0,70.0
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Chicken Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-chicken-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Chicken Sweet Potato,IBGFCP05VO2X,2 x 5kg,82.0,113.9,10,102.5
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Chicken Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-chicken-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Chicken Sweet Potato,IBGFCP15,15kg,82.73,114.9,10,103.41
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-kangaroo-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,IBGFKP05,5kg,56.0,70.0,0,70.0
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-kangaroo-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,IBGFKP05VO2X,2 x 5kg,74.8,103.9,10,93.5
02/15/2023, 14:55:45,Instinctive Bite,Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,instinctive-bite-grain-free-adult-dry-dog-food-kangaroo-sweet-potato,Instinctive Bite Grain Free Adult Dry Dog Food Kangaroo Sweet Potato,IBGFKP15,15kg,82.73,114.9,10,103.41
02/15/2023, 14:55:45,Black Hawk,Dry Dog Food Adult Chicken And Rice,black-hawk-dry-dog-food-adult-chicken-and-rice,Black Hawk Dry Dog Food Adult Chicken And Rice,BCRA3,3kg,33.88,40.99,13,35.66
