Product,Flavor,1lbs,1.5lbs,2lbs,5lbs,6lbs,Grain_Free,Life_Stage,URL,Rating,Reviews
freshpet-vital-kitchen-creations-chicken-recipe-dog-food,Chicken,N/A,$15.39,N/A,$42.89,N/A,No,Adult,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-kitchen-creations-chicken-recipe-dog-food,4.7582,397
freshpet-vital-balanced-nutrition-turkey-recipe-with-peas,Turkey,N/A,N/A,N/A,N/A,$19.99,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-balanced-nutrition-turkey-recipe-with-peas,4.7304,230
freshpet-natures-fresh-beef-roll-and-whole-grains-dry-dog-food,Beef,N/A,$12.64,N/A,$25.99,N/A,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-natures-fresh-beef-roll-and-whole-grains-dry-dog-food,4.5818,55
freshpet-vital-balanced-nutrition-chicken-recipe-with-peas,Chicken,$7.25,N/A,$9.49,N/A,$21.99,No,Adult,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-balanced-nutrition-chicken-recipe-with-peas,4.7942,695
freshpet-vital-balanced-nutrition-meal-chicken-with-veggies-and-wholesome-grains-dry-dog-food,Chicken,N/A,N/A,N/A,$10.99,N/A,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-balanced-nutrition-meal-chicken-with-veggies-and-wholesome-grains-dry-dog-food,4.8095,21
freshpet-vital-grain-free-beef-and-bison-recipe-with-spinach,Bison,$8.99,N/A,$13.99,$38.49,N/A,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-grain-free-beef-and-bison-recipe-with-spinach,4.7377,709
freshpet-vital-complete-meals-for-dogs-5004343--1,Beef,N/A,N/A,N/A,$42.89,N/A,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-complete-meals-for-dogs-5004343--1,4.6231,199
freshpet-vital-complete-meals-chicken-beef-salmon-and-egg-recipe-for-dogs,Chicken,N/A,N/A,N/A,$38.99,N/A,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-complete-meals-chicken-beef-salmon-and-egg-recipe-for-dogs,4.7435,425
freshpet-vital-grain-free-salmon-and-ocean-whitefish-recipe-with-spinach,Fish,N/A,N/A,$12.99,N/A,N/A,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-grain-free-salmon-and-ocean-whitefish-recipe-with-spinach,4.6483,182
freshpet-vital-grain-free-chicken,Chicken,N/A,N/A,$12.99,N/A,N/A,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/freshpet-vital-grain-free-chicken,4.6779,149
