Product,Flavor,14 LB_offer_price,14 LB_recommended_price,25 LB_offer_price,25 LB_recommended_price,5 LBS_offer_price,5 LBS_recommended_price,40 LBS_offer_price,40 LBS_recommended_price,Grain_Free,Life_Stage,URL,Rating,Reviews,25 LBS_offer_price,25 LBS_recommended_price,13 LBS_offer_price,13 LBS_recommended_price,4.5 LBS_offer_price,4.5 LBS_recommended_price,35 LBS_offer_price,35 LBS_recommended_price,6 LBS_offer_price,6 LBS_recommended_price,18 LBS_offer_price,18 LBS_recommended_price,47 LBS_offer_price,47 LBS_recommended_price,30 LBS_offer_price,30 LBS_recommended_price,15 LBS_offer_price,15 LBS_recommended_price,4 LBS_offer_price,4 LBS_recommended_price,28.5 LBS_offer_price,28.5 LBS_recommended_price,15.5 LBS_offer_price,15.5 LBS_recommended_price,45 LBS_offer_price,45 LBS_recommended_price,14 LBS_offer_price,14 LBS_recommended_price,16 LBS_offer_price,16 LBS_recommended_price,41 LBS_offer_price,41 LBS_recommended_price,37.5 LBS_offer_price,37.5 LBS_recommended_price,50 LBS_offer_price,50 LBS_recommended_price,12 LBS_offer_price,12 LBS_recommended_price,24 LBS_offer_price,24 LBS_recommended_price,28 LBS_offer_price,28 LBS_recommended_price,2.5 LBS_offer_price,2.5 LBS_recommended_price,34 LBS_offer_price,34 LBS_recommended_price,26 LBS_offer_price,26 LBS_recommended_price,33 LBS_offer_price,33 LBS_recommended_price,44 LBS_offer_price,44 LBS_recommended_price,22.5 LBS_offer_price,22.5 LBS_recommended_price,11.5 LBS_offer_price,11.5 LBS_recommended_price,22 LBS_offer_price,22 LBS_recommended_price,11 LBS_offer_price,11 LBS_recommended_price,20 LBS_offer_price,20 LBS_recommended_price,1 LBS_offer_price,1 LBS_recommended_price,21.5 LBS_offer_price,21.5 LBS_recommended_price,3.5 LBS_offer_price,3.5 LBS_recommended_price,10 LBS_offer_price,10 LBS_recommended_price,17 LBS_offer_price,17 LBS_recommended_price,7 LBS_offer_price,7 LBS_recommended_price,21 LBS_offer_price,21 LBS_recommended_price,31.1 LBS_offer_price,31.1 LBS_recommended_price,8 LBS_offer_price,8 LBS_recommended_price,2 OZ_offer_price,2 OZ_recommended_price,25 OZ_offer_price,25 OZ_recommended_price,9.5 OZ_offer_price,9.5 OZ_recommended_price,37 LBS_offer_price,37 LBS_recommended_price,4 LB_offer_price,4 LB_recommended_price,18 LB_offer_price,18 LB_recommended_price,12.5 LBS_offer_price,12.5 LBS_recommended_price,38.5 LBS_offer_price,38.5 LBS_recommended_price,48.4 LBS_offer_price,48.4 LBS_recommended_price,3 LBS_offer_price,3 LBS_recommended_price,19 LBS_offer_price,19 LBS_recommended_price,24 LB_offer_price,24 LB_recommended_price,8.5 LBS_offer_price,8.5 LBS_recommended_price,27.5 LBS_offer_price,27.5 LBS_recommended_price,17.6 LBS_offer_price,17.6 LBS_recommended_price,30.6 LBS_offer_price,30.6 LBS_recommended_price,1.75 LBS_offer_price,1.75 LBS_recommended_price,5.5 LBS_offer_price,5.5 LBS_recommended_price,7.7 LBS_offer_price,7.7 LBS_recommended_price,25.3 LBS_offer_price,25.3 LBS_recommended_price,28.6 LBS_offer_price,28.6 LBS_recommended_price,6.6 LBS_offer_price,6.6 LBS_recommended_price,1.5 LBS_offer_price,1.5 LBS_recommended_price,1 LB_offer_price,1 LB_recommended_price,13.5 LBS_offer_price,13.5 LBS_recommended_price,27 LBS_offer_price,27 LBS_recommended_price,27.5 LB_offer_price,27.5 LB_recommended_price,7.4 LBS_offer_price,7.4 LBS_recommended_price,36 LBS_offer_price,36 LBS_recommended_price,20 LB_offer_price,20 LB_recommended_price
wholehearted-dog-food-2582243,Beef,$28.99,$28.99,$46.99,$46.99,$12.99,$12.99,$64.99,$64.99,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-dog-food-2582243,4.7097,2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orijen-original-dry-dog-food-25-lbs-2992171,Chicken,,,,,,,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/orijen-original-dry-dog-food-25-lbs-2992171,4.7886,828,$92.46,$99.99,$56.46,$59.99,$27.99,$27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro-plan-savor-shredded-blend-chicken-and-rice-dog-food-6-lbs-1201972,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/pro-plan-savor-shredded-blend-chicken-and-rice-dog-food-6-lbs-1201972,4.6858,2304,,,,,,,$63.98,$64.99,$18.28,$21.99,$45.68,$48.99,$83.48,$85.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-adult-light-large-breed-with-chicken-meal-and-barley-dry-dog-food-30-lbs-bag-2987152,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-adult-light-large-breed-with-chicken-meal-and-barley-dry-dog-food-30-lbs-bag-2987152,4.7475,495,,,,,,,,,,,,,,,$70.99,$70.99,$40.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-perfect-weight-adult-dog-food-4-lbs-2279261,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-perfect-weight-adult-dog-food-4-lbs-2279261,4.7253,1034,,,,,,,,,,,,,,,,,$48.99,$53.99,$21.49,$23.49,$79.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-sensitive-stomach-and-skin-adult-dog-food-155-lbs-1327755,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-sensitive-stomach-and-skin-adult-dog-food-155-lbs-1327755,4.6954,1983,,,,,,,,,,,,,,,$77.99,$77.99,,,$19.49,$21.49,,,$46.99,$51.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-healthy-benefits-weight-control-lamb-and-pea-recipe-dry-dog-food-5-lbs-2767176,Lamb,,,,,$17.99,$17.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wholehearted-healthy-benefits-weight-control-lamb-and-pea-recipe-dry-dog-food-5-lbs-2767176,4.6427,459,$64.99,$64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-active-performance-high-protein-chicken-and-rice-recipe-dry-dog-food-5-lbs-3180684,Chicken,,,,,$15.99,$15.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wholehearted-active-performance-high-protein-chicken-and-rice-recipe-dry-dog-food-5-lbs-3180684,4.3858,127,,,,,,,,,,,,,,,$54.99,$54.99,,,,,,,,,$64.99,$64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-adult-light-with-chicken-meal-and-barley-dry-dog-food-30-lbs-bag-2987136,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-adult-light-with-chicken-meal-and-barley-dry-dog-food-30-lbs-bag-2987136,4.7837,356,,,,,,,,,,,,,,,$70.99,$70.99,$38.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purina-pro-plan-specialized-sensitive-skin-and-stomach-with-probiotics-large-breed-dry-dog-food-35-lbs-3153521,Fish,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/purina-pro-plan-specialized-sensitive-skin-and-stomach-with-probiotics-large-breed-dry-dog-food-35-lbs-3153521,4.4199,181,,,,,,,$83.98,$87.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
