Scraped_Time,Scraped_Date,SKU,Product_Name,Slug,Product_Variant,Size,Price,Description,Ingredients,Rating,Reviews,Availability
 21:23:25,02/13/2023,SKU-004141,Black Hawk Adult Dry Dog Food Lamb & Rice,black-hawk-adult-dog-lamb-rice,Black Hawk Adult Dry Dog Food Lamb & Rice 3kg,3kg,40.99,"Lamb is a delicious source of protein, which is essential to the development of healthy bones and muscles. Made with Australian, pasture-fed lamb, Black Hawk Adult Dog Lamb and Rice Dry Dog Food is packed with antioxidants, natural prebiotics and glucosamine and chondroitin to support optimal immune and digestive health while helping to maintain the health of your dog’s joints. This tasty dry dog food is made with only the highest quality natural Australian ingredients, without any fillers to ensure that your dog is getting a nutritious meal out of every bite. Offering complete and balanced nutrition for adult dogs over 12 months of age, this grain-free recipe is designed to be as satisfying to the tastebuds as it is to your dog’s nutritional needs. Contains all-natural Aussie ingredients Australian pasture-fed lamb is the number one ingredient offering a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Lamb Meal, Chicken Meal, Fish Meal, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Kelp Meal, Canola Oil, Brewers Yeast, Egg Powder, Essential Vitamins & Minerals, Chicory, Salt, Di-calcium Phosphate, Natural Antioxidants, Fish Oil, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",5,7,True
 21:23:25,02/13/2023,SKU-004117,Black Hawk Adult Dry Dog Food Lamb & Rice,black-hawk-adult-dog-lamb-rice,Black Hawk Adult Dry Dog Food Lamb & Rice 10kg,10kg,106.99,"Lamb is a delicious source of protein, which is essential to the development of healthy bones and muscles. Made with Australian, pasture-fed lamb, Black Hawk Adult Dog Lamb and Rice Dry Dog Food is packed with antioxidants, natural prebiotics and glucosamine and chondroitin to support optimal immune and digestive health while helping to maintain the health of your dog’s joints. This tasty dry dog food is made with only the highest quality natural Australian ingredients, without any fillers to ensure that your dog is getting a nutritious meal out of every bite. Offering complete and balanced nutrition for adult dogs over 12 months of age, this grain-free recipe is designed to be as satisfying to the tastebuds as it is to your dog’s nutritional needs. Contains all-natural Aussie ingredients Australian pasture-fed lamb is the number one ingredient offering a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Lamb Meal, Chicken Meal, Fish Meal, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Kelp Meal, Canola Oil, Brewers Yeast, Egg Powder, Essential Vitamins & Minerals, Chicory, Salt, Di-calcium Phosphate, Natural Antioxidants, Fish Oil, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",5,7,True
 21:23:25,02/13/2023,SKU-001566,Black Hawk Adult Dry Dog Food Lamb & Rice,black-hawk-adult-dog-lamb-rice,Black Hawk Adult Dry Dog Food Lamb & Rice 20kg,20kg,139.99,"Lamb is a delicious source of protein, which is essential to the development of healthy bones and muscles. Made with Australian, pasture-fed lamb, Black Hawk Adult Dog Lamb and Rice Dry Dog Food is packed with antioxidants, natural prebiotics and glucosamine and chondroitin to support optimal immune and digestive health while helping to maintain the health of your dog’s joints. This tasty dry dog food is made with only the highest quality natural Australian ingredients, without any fillers to ensure that your dog is getting a nutritious meal out of every bite. Offering complete and balanced nutrition for adult dogs over 12 months of age, this grain-free recipe is designed to be as satisfying to the tastebuds as it is to your dog’s nutritional needs. Contains all-natural Aussie ingredients Australian pasture-fed lamb is the number one ingredient offering a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Lamb Meal, Chicken Meal, Fish Meal, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Kelp Meal, Canola Oil, Brewers Yeast, Egg Powder, Essential Vitamins & Minerals, Chicory, Salt, Di-calcium Phosphate, Natural Antioxidants, Fish Oil, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",5,7,True
 21:23:25,02/13/2023,SKU-900404,Black Hawk Adult Dry Dog Food Lamb & Rice,black-hawk-adult-dog-lamb-rice,Black Hawk Adult Dry Dog Food Lamb & Rice 40kg,40kg,274.39,"Lamb is a delicious source of protein, which is essential to the development of healthy bones and muscles. Made with Australian, pasture-fed lamb, Black Hawk Adult Dog Lamb and Rice Dry Dog Food is packed with antioxidants, natural prebiotics and glucosamine and chondroitin to support optimal immune and digestive health while helping to maintain the health of your dog’s joints. This tasty dry dog food is made with only the highest quality natural Australian ingredients, without any fillers to ensure that your dog is getting a nutritious meal out of every bite. Offering complete and balanced nutrition for adult dogs over 12 months of age, this grain-free recipe is designed to be as satisfying to the tastebuds as it is to your dog’s nutritional needs. Contains all-natural Aussie ingredients Australian pasture-fed lamb is the number one ingredient offering a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Lamb Meal, Chicken Meal, Fish Meal, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Kelp Meal, Canola Oil, Brewers Yeast, Egg Powder, Essential Vitamins & Minerals, Chicory, Salt, Di-calcium Phosphate, Natural Antioxidants, Fish Oil, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",5,7,True
 21:23:25,02/13/2023,SKU-004142,Black Hawk Adult Dry Dog Food Chicken & Rice,black-hawk-adult-dry-dog-food-chicken-rice,Black Hawk Adult Dry Dog Food Chicken & Rice 3kg,3kg,40.99,"Dogs love living life to the fullest, which is why they need a nutrient-rich diet to help support their active lifestyles. Containing highly digestible, grain-free ingredients which offer a rich source of antioxidants, prebiotics and protein, Black Hawk Adult Dog Chicken and Rice Dry Dog Food is specially formulated to support lifelong immunity, healthy muscle mass and digestive health, while remaining gentle on the stomach. Enriched with glucosamine and chondroitin, this adult dry dog food helps to support joint health so your dog can enjoy comfortable mobility and activity all throughout their adult years. Proudly supporting local farmers and communities, Black Hawk’s recipes are made right here in Australia, with only the highest quality, all-natural ingredients. Made with hormone-free Australian chicken as the number one ingredient, this special recipe is designed to offer the delicious flavours your dog has been craving and the balanced and complete diet they need to thrive throughout adulthood. Contains all-natural Aussie ingredients Australian hormone-free chicken is the number one ingredient and offers a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Highly digestible, grain-free formula is gentle on the stomach while natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Chicken Meal, Ground Rice, Oats, Fish Meal, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet pulp, Kelp, Canola Oil, Salt, Essential Vitamins & Minerals, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries.",4.7,3,True
 21:23:25,02/13/2023,SKU-004118,Black Hawk Adult Dry Dog Food Chicken & Rice,black-hawk-adult-dry-dog-food-chicken-rice,Black Hawk Adult Dry Dog Food Chicken & Rice 10kg,10kg,106.99,"Dogs love living life to the fullest, which is why they need a nutrient-rich diet to help support their active lifestyles. Containing highly digestible, grain-free ingredients which offer a rich source of antioxidants, prebiotics and protein, Black Hawk Adult Dog Chicken and Rice Dry Dog Food is specially formulated to support lifelong immunity, healthy muscle mass and digestive health, while remaining gentle on the stomach. Enriched with glucosamine and chondroitin, this adult dry dog food helps to support joint health so your dog can enjoy comfortable mobility and activity all throughout their adult years. Proudly supporting local farmers and communities, Black Hawk’s recipes are made right here in Australia, with only the highest quality, all-natural ingredients. Made with hormone-free Australian chicken as the number one ingredient, this special recipe is designed to offer the delicious flavours your dog has been craving and the balanced and complete diet they need to thrive throughout adulthood. Contains all-natural Aussie ingredients Australian hormone-free chicken is the number one ingredient and offers a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Highly digestible, grain-free formula is gentle on the stomach while natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Chicken Meal, Ground Rice, Oats, Fish Meal, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet pulp, Kelp, Canola Oil, Salt, Essential Vitamins & Minerals, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries.",4.7,3,True
 21:23:25,02/13/2023,SKU-001565,Black Hawk Adult Dry Dog Food Chicken & Rice,black-hawk-adult-dry-dog-food-chicken-rice,Black Hawk Adult Dry Dog Food Chicken & Rice 20kg,20kg,139.99,"Dogs love living life to the fullest, which is why they need a nutrient-rich diet to help support their active lifestyles. Containing highly digestible, grain-free ingredients which offer a rich source of antioxidants, prebiotics and protein, Black Hawk Adult Dog Chicken and Rice Dry Dog Food is specially formulated to support lifelong immunity, healthy muscle mass and digestive health, while remaining gentle on the stomach. Enriched with glucosamine and chondroitin, this adult dry dog food helps to support joint health so your dog can enjoy comfortable mobility and activity all throughout their adult years. Proudly supporting local farmers and communities, Black Hawk’s recipes are made right here in Australia, with only the highest quality, all-natural ingredients. Made with hormone-free Australian chicken as the number one ingredient, this special recipe is designed to offer the delicious flavours your dog has been craving and the balanced and complete diet they need to thrive throughout adulthood. Contains all-natural Aussie ingredients Australian hormone-free chicken is the number one ingredient and offers a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Highly digestible, grain-free formula is gentle on the stomach while natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Chicken Meal, Ground Rice, Oats, Fish Meal, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet pulp, Kelp, Canola Oil, Salt, Essential Vitamins & Minerals, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries.",4.7,3,True
 21:23:25,02/13/2023,SKU-900403,Black Hawk Adult Dry Dog Food Chicken & Rice,black-hawk-adult-dry-dog-food-chicken-rice,Black Hawk Adult Dry Dog Food Chicken & Rice 40kg,40kg,274.39,"Dogs love living life to the fullest, which is why they need a nutrient-rich diet to help support their active lifestyles. Containing highly digestible, grain-free ingredients which offer a rich source of antioxidants, prebiotics and protein, Black Hawk Adult Dog Chicken and Rice Dry Dog Food is specially formulated to support lifelong immunity, healthy muscle mass and digestive health, while remaining gentle on the stomach. Enriched with glucosamine and chondroitin, this adult dry dog food helps to support joint health so your dog can enjoy comfortable mobility and activity all throughout their adult years. Proudly supporting local farmers and communities, Black Hawk’s recipes are made right here in Australia, with only the highest quality, all-natural ingredients. Made with hormone-free Australian chicken as the number one ingredient, this special recipe is designed to offer the delicious flavours your dog has been craving and the balanced and complete diet they need to thrive throughout adulthood. Contains all-natural Aussie ingredients Australian hormone-free chicken is the number one ingredient and offers a rich source of protein Chondroitin and glucosamine for joint health Antioxidants for a strong immune system Highly digestible, grain-free formula is gentle on the stomach while natural prebiotics support optimal digestion Complete and balanced nutrition for adult dogs over 12 months of age","Chicken Meal, Ground Rice, Oats, Fish Meal, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet pulp, Kelp, Canola Oil, Salt, Essential Vitamins & Minerals, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries.",4.7,3,True
 21:23:25,02/13/2023,SKU-000985,Advance Medium Puppy Dry Dog Food Chicken with Rice,advance-medium-puppy-dry-dog-food-chicken-with-rice,Advance Medium Puppy Dry Dog Food Chicken with Rice 3kg,3kg,39.79,"Running, playing and exploring… it’s good to be a puppy. And it just got even better with Advance Medium Puppy Dry Dog Food. Containing real chicken for that delicious, savoury flavour that dogs love, this tasty puppy food has been specially formulated by dog nutritionists to offer the complete and balanced nutrition your small puppy needs for optimal growth and development. A healthy source of colostrum, prebiotic fibre, DHA and choline, this special puppy formula is designed to support healthy gut, brain and eye development for a happier, healthier pup. This delicious puppy food also comes enriched with a special blend of antioxidants to help support lifelong immunity and greater overall wellbeing. Specially formulated for puppies, as well as lactating and pregnant dogs EPA and choline for brain and eye development Colostrum and prebiotic fibre for gut health Antioxidants for a strong immune system","Nutritional  Composition	Per 100g	Per 1000 kcalProtein crude			31.5%		79.7 g Fat, crude 			21.0%		53.2 g Moisture 			8.50%		21.5 g Ash 				9.0%		22.8 g Calcium				1.5%		3.8gPhosphorus			1.1%		2.8g	DHA(min)			0.03g		0.08g	Choline				154.4mg		391mgVitamin E (min.) 		50 IU 		126IUZinc (min.)			11.4 mg 	28.8mgLinoleic Acid (min.) 		1.5g		3.8g Omega 3 (min.) 			0.12g 	        0.30g Omega 6 (min.)			1.5 g		3.8g",5,5,True
 21:23:25,02/13/2023,SKU-900282,Advance Medium Puppy Dry Dog Food Chicken with Rice,advance-medium-puppy-dry-dog-food-chicken-with-rice,Advance Medium Puppy Dry Dog Food Chicken with Rice 6kg,6kg,77.99,"Running, playing and exploring… it’s good to be a puppy. And it just got even better with Advance Medium Puppy Dry Dog Food. Containing real chicken for that delicious, savoury flavour that dogs love, this tasty puppy food has been specially formulated by dog nutritionists to offer the complete and balanced nutrition your small puppy needs for optimal growth and development. A healthy source of colostrum, prebiotic fibre, DHA and choline, this special puppy formula is designed to support healthy gut, brain and eye development for a happier, healthier pup. This delicious puppy food also comes enriched with a special blend of antioxidants to help support lifelong immunity and greater overall wellbeing. Specially formulated for puppies, as well as lactating and pregnant dogs EPA and choline for brain and eye development Colostrum and prebiotic fibre for gut health Antioxidants for a strong immune system","Nutritional  Composition	Per 100g	Per 1000 kcalProtein crude			31.5%		79.7 g Fat, crude 			21.0%		53.2 g Moisture 			8.50%		21.5 g Ash 				9.0%		22.8 g Calcium				1.5%		3.8gPhosphorus			1.1%		2.8g	DHA(min)			0.03g		0.08g	Choline				154.4mg		391mgVitamin E (min.) 		50 IU 		126IUZinc (min.)			11.4 mg 	28.8mgLinoleic Acid (min.) 		1.5g		3.8g Omega 3 (min.) 			0.12g 	        0.30g Omega 6 (min.)			1.5 g		3.8g",5,5,True
