Product,Flavor,1lbs,1.5lbs,2lbs,5lbs,6lbs,Grain_Free,Life_Stage,Ingredients,URL,Rating,Reviews
Freshpet® Vital&trade;Grain Free Beef & Bison Adult Dog Food,Bison & Beef,8.99,N/A,13.99,34.99,N/A,Yes,All,"Beef, Beef Liver, Bison, Beef Broth, Spinach, Cranberries, Blueberries, Pea Protein, Carrageenan, Minerals (Dicalcium Phosphate, Calcium Carbonate, Zinc Proteinate, Iron Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Salt, Natural Flavors, Potassium Chloride, Inulin, Celery Powder, Fish Oil, Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Vitamin D3 Supplement, Pyridoxine Hydrochloride, Folic Acid)","https://www.petsmart.com/dw/shop/v18_8/products/5150607?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.821,324
Freshpet® Vital&trade;Balanced Nutrition Chicken Adult Dog Food,"Chicken, Vegetable & Rice",5.99,N/A,10.99,N/A,19.99,No,All,"Chicken, Chicken Liver, Chicken Broth, Peas, Carrots, Eggs, Brown Rice, Rice Bran, Carrageenan, Natural Flavors, Potassium Chloride, Fish Oil, Inulin, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Salt, Celery Powder, Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Thiamine Mononitrate, Riboflavin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid), Spinach","https://www.petsmart.com/dw/shop/v18_8/products/5102566?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7523,331
Freshpet® Vital&trade; Grain Free Complete Meals Small Breed Chicken All Life Stage Dog Food,Chicken,8.99,N/A,N/A,N/A,N/A,Yes,All,"Chicken, Chicken Liver, Carrots, Sweet Potatoes, Pea Protein, Eggs, Cranberries, Natural Flavors, Pea Fiber, Vinegar, Dicalcium Phosphate, Salt, Spinach, Potassium Chloride, Inulin, Fish Oil, Beta-Carotene, Minerals (Zinc Proteinate, Iron Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Celery Powder, Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid)","https://www.petsmart.com/dw/shop/v18_8/products/5278424?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7485,167
Freshpet® Vital&trade; Fresh Cuts All Life Stage Dog Food - Chicken,Chicken,N/A,13.99,N/A,39.99,N/A,No,All,"Chicken, Sweet Potato, Carrots, Pea Protein, Pea Fiber, Ground Oats, Natural Flavors, Green Beans, Cranberries, Vinegar, Carrageenan, Cassia Gum, Salt, Potassium Chloride, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Choline Chloride, Vitamin E Supplement, Vitamin A Supplement, Niacin, Calcium Pantothenate, Biotin, Thiamine Mononitrate, Riboflavin, Vitamin B12 Supplement, Vitamin D3 Supplement, Pyridoxine Hydrochloride, Folic Acid), Fish Oil, Spinach","https://www.petsmart.com/dw/shop/v18_8/products/5266544?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6914,162
"Freshpet® Vital&trade; Grain Free Complete Meals Chicken, Beef, Salmon & Egg Adult Dog Food","Chicken, Beef, Salmon & Egg",N/A,N/A,N/A,38.99,N/A,Yes,All,"Chicken, Chicken Liver, Beef, Salmon, Pea Protein, Eggs, Natural Flavors, Cranberries, Spinach, Pea Fiber, Salt, Carrageenan, Vinegar, Inulin, Beta-Carotene, Potassium Chloride, Minerals (Zinc Proteinate, Iron Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid), Celery Powder","https://www.petsmart.com/dw/shop/v18_8/products/5167198?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6381,105
Freshpet® Vital &trade; Grain Free Small Breed All Life Stage Dog Food,Poultry,8.99,N/A,N/A,N/A,N/A,Yes,All,"Chicken, Turkey, Cranberries, Chicken Broth, Blueberries, Spinach, Pea Fiber, Pumpkin PurÃ©e, Tapioca Starch, Carrageenan, Natural Flavors, Minerals (Dicalcium Phosphate, Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Salt, Potassium Chloride, Fish Oil, Vitamins (Choline Chloride, Vitamin E Supplement, Vitamin A Supplement, Niacin, Calcium Pantothenate, Biotin, Thiamine Mononitrate, Riboflavin, Vitamin B12 Supplement, Vitamin D3 Supplement, Pyridoxine Hydrochloride, Folic Acid), Celery Powder","https://www.petsmart.com/dw/shop/v18_8/products/5299363?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.88,100
Freshpet® Vital&trade;Balanced NutritionTurkey Adult Dog Food,"Turkey, Vegetable & Rice",N/A,N/A,N/A,N/A,19.99,No,All,"Turkey, Turkey Liver, Turkey Broth, Carrots, Eggs, Brown Rice, Spinach, Rice Bran, Carrageenan, Minerals (Dicalcium Phosphate, Calcium Carbonate, Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Natural Flavors, Potassium Chloride, Inulin, Fish Oil, Celery Powder, Salt, Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Thiamine Mononitrate, Riboflavin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid), Peas","https://www.petsmart.com/dw/shop/v18_8/products/5102565?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8131,107
Freshpet® Vital&trade;Grain Free Turkey Adult Dog Food,Turkey,N/A,N/A,13.99,N/A,N/A,Yes,All,"Turkey, Cranberries, Blueberries, Turkey Broth, Spinach, Carrageenan, Minerals (Dicalcium Phosphate, Calcium Carbonate, Zinc Proteinate, Iron Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Natural Flavors, Potassium Chloride, Celery Powder, Salt, Inulin, Fish Oil, Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Vitamin D3 Supplement, Pyridoxine Hydrochloride, Folic Acid)","https://www.petsmart.com/dw/shop/v18_8/products/5150571?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7848,79
Freshpet® Vital&trade;Grain Free Salmon & Ocean Whitefish Adult Dog Food,Salmon & Ocean Whitefish,N/A,N/A,13.99,N/A,N/A,Yes,All,"Salmon, Fish Broth, Spinach, Cranberries, Blueberries, Ocean Whitefish, Sweet Potatoes,  Lentils, Sunflower Oil, Pea Protein, Carrageenan,  Natural Flavors, MINERALS (Dicalcium Phosphate, Zinc Proteinate, Iron Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Celery Powder, Potassium Chloride, Salt, Inulin, VITAMINS (Choline Chloride, Vitamin E Supplement, Niacin, Calcium Pantothenate, Biotin, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid)","https://www.petsmart.com/dw/shop/v18_8/products/5150608?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6579,76
Dog Nation(r) Fresh Adult Dog Treat - Chicken,Chicken,N/A,N/A,N/A,N/A,N/A,No,,,"https://www.petsmart.com/dw/shop/v18_8/products/5136140?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7593,54
