Product,Flavor,13.6 Oz,13.6 Oz_offer_price,13.6 Oz_recommended_price,Grain_Free,Ingredients,URL,Rating,Reviews,2.5 Lb,2.5 Lb_offer_price,2.5 Lb_recommended_price,Life_Stage,30 Lb,30 Lb_offer_price,30 Lb_recommended_price,22 Lb,22 Lb_offer_price,22 Lb_recommended_price,13.4 Oz,13.4 Oz_offer_price,13.4 Oz_recommended_price,26.4 Lb,26.4 Lb_offer_price,26.4 Lb_recommended_price,3 Oz,3 Oz_offer_price,3 Oz_recommended_price,7.7 Lb,7.7 Lb_offer_price,7.7 Lb_recommended_price,3 Lb,3 Lb_offer_price,3 Lb_recommended_price,17.6 Lb,17.6 Lb_offer_price,17.6 Lb_recommended_price,25.3 Lb,25.3 Lb_offer_price,25.3 Lb_recommended_price,6.6 Lb,6.6 Lb_offer_price,6.6 Lb_recommended_price,8.8 Lb,8.8 Lb_offer_price,8.8 Lb_recommended_price,13.5 Oz,13.5 Oz_offer_price,13.5 Oz_recommended_price,35 Lb,35 Lb_offer_price,35 Lb_recommended_price,18 Lb,18 Lb_offer_price,18 Lb_recommended_price,28.6 Lb,28.6 Lb_offer_price,28.6 Lb_recommended_price,14 Oz,14 Oz_offer_price,14 Oz_recommended_price,10 Lb,10 Lb_offer_price,10 Lb_recommended_price,17 Lb,17 Lb_offer_price,17 Lb_recommended_price,5.1 Oz,5.1 Oz_offer_price,5.1 Oz_recommended_price,6 Lb,6 Lb_offer_price,6 Lb_recommended_price,2 Lb,2 Lb_offer_price,2 Lb_recommended_price,3.5 Lb,3.5 Lb_offer_price,3.5 Lb_recommended_price,16.5 Lb,16.5 Lb_offer_price,16.5 Lb_recommended_price
"Royal Canin Veterinary Diet Adult Urinary SO Loaf Canned Dog Food, 13.5 oz",Other,4.39,4.39,4.39,N/A,"Water Sufficient For Processing, Chicken Liver, Chicken By-Products, Pork By-Products, Corn Grits, Corn Starch, Vegetable Oil, Powdered Cellulose, Salt, Monocalcium Phosphate, Natural Flavors, Guar Gum, Potassium Chloride, Carob Bean Gum, Fish Oil, Taurine, Calcium Sulfate, Carrageenan, DL-Methionine, Choline Chloride, Vitamins [Vitamin E Supplement, DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Magnesium Oxide, Marigold Extract (Tagetes Erecta L.)","https://www.petsmart.com/dw/shop/v18_8/products/5083856?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.4737,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Miniature Schnauzer Puppy Breed Specific Dry Dog Food,Other,,,,No,,"https://www.petsmart.com/dw/shop/v18_8/products/5211540?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.6111,36,24.99,24.99,25.99,Puppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Large Adult 5+ Dry Dog Food for Older Dogs,Other,,,,No,Crude Protein (min.) 29.0% Crude Fat (min.) 18.0%  Crude Fiber (max.) 3.3%  Moisture (max.) 10.0%  Vitamin E (min.) 350 IU/kg,"https://www.petsmart.com/dw/shop/v18_8/products/5199271?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8857,35,,,,Adult,84.99,84.99,84.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Gastrointestinal Dry Dog Food,Other,,,,N/A,Crude Protein (min.) 23.0%      Crude Fat (min.) 18.0%      Crude Fiber (max.) 3.3%      Moisture (max.) 10.0%      Eicosapentaenoic + Docosahexaenoic acid (EPA + DHA) (min.) 0.19%      Potassium (min.) 0.6%      Sodium (min.) 0.25%      Vitamin E (min.) 350 IU/kg      Ascorbic acid* (min.) 240 mg/kg      *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5158433?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7459,122,,,,,,,,95.99,95.99,95.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Chihuahua Adult Dry Dog Food,Chicken & Rice,,,,No,"3,751 kcal/kg ME (323 kcal/cup ME)","https://www.petsmart.com/dw/shop/v18_8/products/5173226?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8281,349,22.99,22.99,22.99,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Labrador Retriever Puppy Breed Specific Dry Dog Food,Chicken & Rice,,,,No,"Chicken By-Product Meal, Brewers Rice, Brown Rice, Corn Gluten Meal, Wheat Gluten, Corn, Chicken Fat, Natural Flavors, Dried Plain Beet Pulp, Fish Oil, Pea Fiber, Sodium Silico Aluminate, Egg Product, Vegetable Oil, Monocalcium Phosphate, Psyllium Seed Husk, Potassium Chloride, Calcium Carbonate, Fructooligosaccharides, Sodium Tripolyphosphate, Hydrolyzed Yeast (Source Of Betaglucans), Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement, Menadione Sodium Bisulfite Complex], Salt, Trace Minerals [Zinc Proteinate, Ferrous Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Choline Chloride, Glucosamine Hydrochloride, Taurine, Marigold Extract (Tagetes Erecta L.), DL-Methionine, L-Carnitine, Yucca Schidigera Extract, Chondroitin Sulfate, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5150140?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8558,104,,,,Puppy,109.99,109.99,112.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Veterinary Diet Satiety Support Weight Management Adult Canned Dog Food, 13.4 oz can",N/A,,,,N/A,"Water Sufficient For Processing, Pork By-Products, Pork Liver, Chicken By-Products, Corn Meal, Powdered Cellulose, Pork Plasma, Dried Plain Beet Pulp, Wheat Gluten, Carob Bean Gum, Guar Gum, Carrageenan, Fish Oil, Natural Flavors, Potassium Chloride, Calcium Carbonate, Sodium Silico Aluminate, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], L-Carnitine, Glucosamine Hydrochloride, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.), Chondroitin Sulfate","https://www.petsmart.com/dw/shop/v18_8/products/5219579?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.5143,35,,,,Adult,,,,,,,4.39,4.39,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Satiety Support Weight Management Adult Dry Dog Food,N/A,,,,N/A,"Powdered cellulose, chicken by-product meal, corn, wheat gluten, wheat, corn gluten meal, natural flavors, dried plain beet pulp, chicken fat, fish oil, pea fiber, potassium chloride, calcium carbonate, vegetable oil, psyllium seed husk, fructooligosaccharides, sodium tripolyphosphate, choline chloride, vitamins[DL-alpha tocopherol acetate (source of vitamin E), L-ascorbyl-2-polyphosphate (source of vitamin C), niacin supplement, biotin, riboflavin supplement, D-calcium pantothenate, thiamine mononitrate (vitamin B1), pyridoxine hydrochloride (vitamin B6), vitamin A acetate, vitamin B12 supplement, folic acid, vitamin D3 supplement], glucosamine hydrochloride, taurine, DL-methionine, L-lysine, salt, marigold extract (Tagetes erecta L.), magnesium oxide, trace minerals[zinc proteinate, zinc oxide, manganese proteinate, ferrous sulfate, manganous oxide, copper sulfate, calcium iodate, sodium selenite, copper proteinate], L-carnitine, chondroitin sulfate, rosemary extract, preserved with mixed tocopherols and citric acid.","https://www.petsmart.com/dw/shop/v18_8/products/5258073?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.5163,215,,,,Adult,,,,,,,,,,104.99,104.99,104.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Small Aging Senior Wet Dog Food - 3 oz,Other,,,,No,"Water Sufficient For Processing, Pork By-Products, Chicken, Pork Liver, Brewers Rice Flour, Wheat Gluten, Modified Corn Starch, Powdered Cellulose, Vegetable Oil, Pork Plasma, Fish Oil, Calcium Carbonate, Dicalcium Phosphate, Hydrolyzed Yeast, Sodium Silico Aluminate, Dried Tomato Pomace, Taurine, Natural Flavors, Carob Bean Gum, Potassium Chloride, Vitamins [Cholecalciferol (Source Of Vitamin D3), DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Ascorbic Acid, Thiamine Mononitrate (Vitamin B1), Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Biotin, Folic Acid, Vitamin B12 Supplement], Sodium Tripolyphosphate, L-Carnitine, Caramel, L-Tryptophan, Marigold Extract (Tagetes Erecta L.), Magnesium Oxide, Sodium Carbonate, Trace Minerals [Zinc Sulfate, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganese Sulfate, Calcium Iodate, Copper Proteinate, Manganese Proteinate], BHA, Propyl Gallate","https://www.petsmart.com/dw/shop/v18_8/products/5286403?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.814,86,,,,Senior,,,,,,,,,,,,,2.39,2.39,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Rottweiler Puppy Breed Specific Dry Dog Food,N/A,,,,No,"Chicken By-Product Meal, Brewers Rice, Wheat Gluten, Brown Rice, Chicken Fat, Corn, Wheat, Pork Meal, Natural Flavors, Dried Plain Beet Pulp, Vegetable Oil,Sodium Silico Aluminate, Fish Oil, Monocalcium Phosphate, Pea Fiber, Potassium Chloride, Calcium Carbonate, Psyllium Seed Husk, Fructooligosaccharides, Sodium Tripolyphosphate, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Hydrolyzed Yeast (Source Of Betaglucans), Choline Chloride, L-Tyrosine, Taurine, Glucosamine Hydrochloride, L-Lysine, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Salt, L-Carnitine, DL-Methionine, Magnesium Oxide, Yucca Schidigera Extract, Chondroitin Sulfate, Carotene, Rosemary Extract, Preserved With Mixed TocopherolsAnd Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5184510?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8,35,,,,Puppy,109.99,109.99,112.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
