Product_Name,Total_Rating,User,Time,Heading,Detail,Recommend,No_helpful_vote,Yes_helpful_vote
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Dbates48,01-18-2023,My dog loves this food.,I started feeding Freshpet soft food to our Shi-Tzu after he had a lot of his teeth removed. He has thrived on it and begs for it every day.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Shirley abc,01-17-2023,Great topper,This makes a great topper for the dry dog food and my dogs love it.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,hennypenny278,01-13-2023,The only food my picky eater dog will eat.,My Chihuahua is a very picky eater and will only eat this food. For a year I tried more types of other food than I care to count. I am so glad to have found this.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,A Christmas present,01-09-2023,He loved it,I had to watch how much I gave him because he just simply adored this product. Hot or cold he liked it. Wanting more he had it with each meal that we ate together usually I gave him table scraps but he ate this instead and I feel very wonderful about giving him something that's good for him.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Mitch11,01-09-2023,Dog loved it!,"My dog never had Fresh pet food before. She wasn't eating and we fed her Vital Grain Free Beef & Bison. She ate it all and is back to a regular feeding schedule. I used to make her shredded chicken with rice, beans carrots and peas for her weight and sensitive stomach. All is good now.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,mermaidatthebeach,01-08-2023,Fabulous alternative to canned dog food!,"I get this and slice an inch off at a time, cut into quarters and microwave for 1.30 then split into two dog bowls, add some cold water and it makes a wonderful meat and gravy  with kibble.  Much more affordable than the canned food we pay $3+ a can and better ingredients.  My dogs LOVE this food!",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,AnnieU,01-08-2023,Our dog loves this food!!!,I barely get the food in her bowl and she’s ready to eat!!!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Joni W,01-07-2023,Healthy Food No Preservatives,"I switched to fresh food because my dog stopped liking kibbles, even after trying three different kinds. He loves this food, is really enthusiastic when it’s meal time and as an added bonus, he has stopped biting his feet and no longer gets the red runny rivulets and gup  in his eyes. He is an 8 pound Maltese boy",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Memad,01-05-2023,Bad product,I bought this product in the past this time it was full of liquid and product was very squishy dogs would not eat it,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,TAGE,01-04-2023,My dog loves this product,I have a 5 year old Boxer who has been experiencing skin problems since I adopted him. This product does not have chicken or grains which has helped his skin and lessened the scratchiness and licking of his paws. He loves this food! It seems better than the dry kibble with all the fillers and by products.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Dtg51,01-01-2023,Sold expired foor,"My puppy was eating this fine the last time I got this.  This time he hesitated, he is picky so I thought it was just him. No... placed the order on 12/20 for curbside pick up, got food with a date of 12/9/22 (which I did not check). No wonder he is not interested. Disappointed in Petsmart!!!!",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Alexmom141414,12-31-2022,My picky dog loves this food,"My dog refuses to eat any kibble (tried all brands) and he’s allergic to chicken, so I was so happy to find something he’ll eat, and he loves this.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,IG owner,12-15-2022,Not the favorite flavor for my two dogs,"I bought this as a stop-gap for a food plan which we ran out of. I’ve given the dogs the poultry-based formula before, and they liked it. I tried the beef version this time because the poultry version was sold out in the larger size. Both dogs picked at it for the first couple days that we fed it, but by the third day they turned their noses away and wouldn’t even make an effort",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,FMB0807,12-14-2022,"He likes it, He really likes it",I purchased Vital Beef and Bison for my fur nephew two weeks ago and he really likes it. I wish it was a little softer and not so congealed.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Randy 442,12-13-2022,My dog loves it!!,I started buying this food to improve my dog's diet. Good  decision! He eats better and has more  energy.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,2273smac,12-12-2022,My Fur Babies LoveLove Vital!,My Fur Babies LoveLove Vital! They are Very picky eaters and we have tried many other brands. This has the best ingredients any MommaBear could ask for. They truly love it up every time.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,mom of 4 plus dog and cat,12-08-2022,great tasting and very Easy to portion,"our dog loves this, he practically inhaled it at the first serving.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,ShivaMom,12-07-2022,Excellent ingredients,My dog LOVES this beef and bison blend. He can not eat chicken and this is a great choice!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,daiZy mae,12-03-2022,,"My dogs love it 
and it is easy to feed to them 
just slice off a piece off log",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Sky316,11-30-2022,My Dog Loves this,I bought this one and the chicken he picked this one and ever since I get it for him,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,KMS20,11-27-2022,Mostly Good Product,"I have been feeding my dogs the Freshpet Turkey and Beef & Bison as a supplement to the dry dog food. They seem to like it, but if the rolls become frozen, it does something to the texture and taste, because my one smaller dog isn't that interested. Also, I have noticed a lot of fat in the B&B rolls lately, and it really smells and looks unappetizing, and my dogs seem to agree. Not sure if I will continue buying them or not.",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Maxley53,11-16-2022,Good Dog Food,Very good product to feed our dog.  We like the fact that it is grain free.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lisa5,11-14-2022,My furbaby love this!,I have an extremely finicky furbaby and have went thru many different types of dog food. My girl loves this one!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Whacko,11-09-2022,Like that it's fresher,My dog loves this!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Couldbeworse,11-06-2022,My dog lives this,My dog absolutely loves this. He eats it like someone's gunna take it from him.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Missy3732,10-25-2022,Good but overpriced,It’s as good as the other fresh dog foods but the price was excessive,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,PumpkinMaxwell,10-21-2022,No chicken. My dog is allergic to chicken.,I have been buying this product for years and he is an extremely picky eater and he likes it!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Del Gato and Meiko,10-08-2022,,My Schnauzers are very picky eaters. So I tried the Bison and Beef 2 pound rolls. They love it!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Peaches5317,10-06-2022,Love title,My dog loves this food. She will not eat any other type of food.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Qtippy,10-03-2022,God quality dog food.,Our dog is allergic to corn and chicken so this is a perfect food for her and she loves it.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Chiquita2,09-30-2022,Will do!,For the money and my toothless dog taste it works for me! It will do!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Barbbb,09-22-2022,They love it!,We decided to change foods (don't want to go into it) and this wasn't what we decided! Lol. Walked by the cooler and took a chance. The dogs love it. It's easier than cans and similarly priced when you break it down. Very pleasantly surprised and happy we bought it.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Juju678,09-18-2022,Dog Love this!,"My dog loves this so much when I call him for lunch and dinner, he runs to his bowl",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Bentleyandme,09-16-2022,Bentley’s first choice,"My dog, Bentley, only like the Fresh Pet Bedf and Bison.",Y,17,263
