Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
01/23/2023, 14:34:18,Prime100 Spt Kangaroo Fillet Dog Treats 100G,prime100-spt-kangaroo-fillet-dog-treats,Prime,6661730107528,122921000115,9340710001258,100g,9.98,Available
01/23/2023, 14:34:18,Black Hawk Large Breed Adult Chicken &amp; Rice Dry Dog Food 20kg,black-hawk-large-breed-adult-chicken-rice-dry-dog-food,Black Hawk,6660825743496,122713000026,9312239039807,20kg,178.00,Available
01/23/2023, 14:34:18,Billie's Bowl Adult with Real Aussie Beef Dry Dog Food 10kg,billies-bowl-adult-with-real-aussie-beef-dry-dog-food,Billie's Bowl,6660850024584,100000037686,9392596005110,10kg,34.97,Available
01/23/2023, 14:34:18,Royal Canin VET Gastrointestinal Low Fat Wet Dog Food 410G,royal-canin-veterinary-diet-gastrointestinal-low-fat-adult-wet-dog-food-cans,Royal Canin VET,6660991647880,100000021867,9003579309452,410g,7.15,Available
01/23/2023, 14:34:18,Billie's Bowl Large Breed Adult with Real Aussie Chicken Dry Dog Food 10kg,billies-bowl-large-breed-adult-with-real-aussie-chicken-dry-dog-food,Billie's Bowl,6660831936648,100000037687,9392596005127,10kg,34.97,Available
01/23/2023, 14:34:18,Prime100 Spt Chicken Fillet Dog Treats 100G,prime100-spt-chicken-fillet-dog-treats,Prime,6661085397128,122920000086,9340710001272,100g,9.98,Available
01/23/2023, 14:34:18,Optimum Large Breed Adult Chicken Dry Dog Food 15kg,optimum-large-breed-adult-chicken-dry-dog-food,Optimum,6661543821448,122013000174,9334214027319,15kg,66.55,Available
01/23/2023, 14:34:18,Greenies Original Regular Dental Dog Treats 36 Value Pack 1.02Kg,greenies-original-regular-dental-dog-treats,Greenies,6661326864520,100000005420,642863101045,1kg,65.00,Available
01/23/2023, 14:34:18,Big Dog Probiotics for Dogs,big-dog-probiotics-for-dogs,Big Dog,6660823187592,100000006479,9337940006689,150g,30.99,Available
01/23/2023, 14:34:18,Glow Adult Australian Mackerel 10kg,glow-adult-australian-mackerel-dry-dog-food,Glow,6660836589704,100000001389,9392596015331,10kg,73.48,Available
01/23/2023, 14:34:18,Billie's Bowl Senior with REAL Aussie Fish Dry Dog Food 10kg,billies-bowl-senior-with-real-aussie-fish-dry-dog-food,Billie's Bowl,6660845469832,100000037688,9392596005134,10kg,34.97,Available
01/23/2023, 14:34:18,Greenies Original Petite Dental Dog Treats 60 Value Pack 1.02Kg,greenies-original-petite-dental-dog-treats,Greenies,6662200590472,100000005419,642863101021,1kg,65.00,Available
01/23/2023, 14:34:18,Black Dog Chicken Meat Balls Dog Treats 250G,black-dog-chicken-meat-balls-dog-treats,Black Dog,6661387747464,122920000037,9319993801190,250g,10.78,Available
01/23/2023, 14:34:18,Black Dog Pork Puppy Clods Dog Treats,black-dog-pork-puppy-clods-dog-treats,Black Dog,6660979261576,122912000026,9392596000764,Default Title,4.82,Available
01/23/2023, 14:34:18,Supercoat Sensitive Adult Fish Dry Dog Food 15kg,supercoat-sensitive-adult-fish-dry-dog-food,Supercoat,7042971009160,100000102483,9300605147553,15kg,70.00,Available
01/23/2023, 14:34:18,Advance Growth Puppy Lamb &amp; Rice Wet Dog Food 410g,advance-growth-puppy-lamb-rice-wet-dog-food,Advance,6660827316360,122711000112,9334214029764,410g,5.14,Available
01/23/2023, 14:34:18,WAG Kangaroo Teeth Cleanser Bone Dog Treat,wag-kangaroo-teeth-cleanser-bone-dog-treat,WAG,6661606899848,122921000036,9337037008640,Small,6.98,Available
01/23/2023, 14:34:18,Royal Canin Mini Puppy Wet Dog Food 85G,royal-canin-mini-puppy-wet-dog-food,Royal Canin,6660829085832,100000007816,9003579008218,85g,3.05,Available
01/23/2023, 14:34:18,Savourlife Australian Kangaroo Training Dog Treats 165G,savourlife-australian-kangaroo-training-dog-treats,Savourlife,6661013962888,122921000083,9347810000167,165g,14.98,Available
01/23/2023, 14:34:18,Greenies Original Large Dental Dog Treats 24 Value Pack 1.02Kg,greenies-original-large-dental-dog-treats,Greenies,6661538250888,100000005421,642863101069,1kg,65.00,Available
