Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/06/2023, 22:50:29,Royal Canin Mini Puppy Wet Dog Food 85G,royal-canin-mini-puppy-wet-dog-food,Royal Canin,6660829085832,100000007816,9003579008218,85g,3.05,Available
02/06/2023, 22:50:29,Black Hawk Large Breed Adult Chicken &amp; Rice Dry Dog Food 20kg,black-hawk-large-breed-adult-chicken-rice-dry-dog-food,Black Hawk,6660825743496,122713000026,9312239039807,20kg,178.00,Available
02/06/2023, 22:50:29,Royal Canin Puppy Mini Dry Dog Food 4kg,royal-canin-puppy-mini-dry-dog-food,Royal Canin,6660849565832,100000024744,3182550793032,4kg,69.18,Available
02/06/2023, 22:50:29,Royal Canin Educ Training Dog Treats 50G,royal-canin-educ-training-dog-treats,Royal Canin,6661456724104,122923000017,3182550781022,50g,5.73,Available
02/06/2023, 22:50:29,Royal Canin French Bulldog Puppy Dry Dog Food 3kg,royal-canin-french-bulldog-puppy-dry-dog-food,Royal Canin,6662261407880,100000005444,3182550811705,3kg,52.50,Available
02/06/2023, 22:50:29,Royal Canin Dachshund Puppy Dry Dog Food 1.5kg,royal-canin-dachshund-puppy-dry-dog-food,Royal Canin,6662245777544,122725000056,3182550722575,1.5kg,42.38,Available
02/06/2023, 22:50:29,Royal Canin Digestive Care Loaf Adult Wet Dog Food 85G,royal-canin-digestive-care-adult-loaf-wet-dog-food,Royal Canin,6660993351816,100000019003,9003579008782,85g,3.05,Available
02/06/2023, 22:50:29,Royal Canin Mini Dental Care Adult Dry Dog Food 3kg,royal-canin-mini-dental-care-adult-dry-dog-food,Royal Canin,6661149655176,100000018998,3182550894371,3kg,60.61,Available
02/06/2023, 22:50:29,Royal Canin Boxer Adult Dry Dog Food 12kg,royal-canin-boxer-adult-dry-dog-food,Royal Canin,6661563777160,122725000095,3182550719766,12kg,153.00,Available
02/06/2023, 22:50:29,Royal Canin Medium Adult Wet Dog Food 140G,royal-canin-medium-adult-wet-dog-food,Royal Canin,6660851302536,100000007820,9003579008379,140g,4.39,Available
02/06/2023, 22:50:29,Royal Canin Mini Adult 8+ Dry Dog Food 2kg,royal-canin-mini-adult-8-dry-dog-food,Royal Canin,6660836294792,122725000124,3182550831383,2kg,42.10,Available
